股票代號,股票名稱,昨日權重%,今日權重%,Δ%,_merge
1210,大成,0.39,0.37,-0.02,both
1303,南亞,1.99,1.8,-0.19,both
1560,中砂,0.0,0.0,0.0,both
2059,川湖,3.39,3.34,-0.05,both
2308,台達電,5.86,5.81,-0.05,both
2317,鴻海,3.88,4.37,0.49,both
2327,國巨,0.01,0.0,-0.01,both
2330,台積電,9.15,9.15,0.0,both
2345,智邦,5.77,5.71,-0.06,both
2357,華碩,2.7,2.62,-0.08,both
2368,金像電,3.45,3.74,0.29,both
2382,廣達,1.18,1.09,-0.09,both
2383,台光電,5.11,5.56,0.45,both
2439,美律,0.0,0.0,0.0,both
2454,聯發科,2.86,3.36,0.5,both
2618,長榮航,0.16,0.15,-0.01,both
2884,玉山金,2.85,2.9,0.05,both
2886,兆豐金,0.05,0.31,0.26,both
2891,中信金,0.32,0.3,-0.02,both
3008,大立光,0.02,0.02,0.0,both
3017,奇鋐,7.28,6.2,-1.08,both
3044,健鼎,2.43,2.27,-0.16,both
3045,台灣大,0.04,0.04,0.0,both
3217,優群,0.55,0.5,-0.05,both
3231,緯創,1.12,1.03,-0.09,both
3376,新日興,0.0,0.48,0.48,right_only
3515,華擎,0.0,0.0,0.0,left_only
3533,嘉澤,0.89,0.8,-0.09,both
3605,宏致,0.46,0.0,-0.46,both
3653,健策,3.35,3.51,0.16,both
3661,世芯-KY,6.07,6.27,0.2,both
3665,貿聯-KY,6.55,6.55,0.0,both
4770,上品,0.98,0.88,-0.1,both
4958,臻鼎-KY,2.61,2.53,-0.08,both
5274,信驊,1.05,1.03,-0.02,both
5347,世界,0.21,0.2,-0.01,both
6139,亞翔,0.19,0.44,0.25,both
6143,振曜,0.37,0.35,-0.02,both
6223,旺矽,0.4,0.81,0.41,both
6274,台燿,0.57,1.08,0.51,both
6278,台表科,0.0,0.0,0.0,both
6472,保瑞,0.29,0.54,0.25,both
6510,精測,0.86,0.88,0.02,both
6515,穎崴,0.92,0.94,0.02,both
6669,緯穎,0.03,0.03,0.0,both
6757,台灣虎航,0.15,0.14,-0.01,both
6805,富世達,0.65,1.22,0.57,both
8046,南電,2.5,2.5,0.0,both
8069,元太,0.0,0.0,0.0,both
8210,勤誠,3.07,2.92,-0.15,both
8996,高力,0.63,0.63,0.0,both
