股票代號,股票名稱,今日%,昨日%,D1Δ%,T-5日%,D5Δ%
2330,台積電,9.11,9.11,0.0,9.12,-0.01
2308,台達電,6.68,6.68,0.0,5.83,0.85
3665,貿聯-KY,6.46,6.46,0.0,6.55,-0.09
3661,世芯-KY,6.28,6.28,0.0,5.09,1.19
2383,台光電,6.21,6.21,0.0,4.72,1.49
3017,奇鋐,6.12,6.12,0.0,7.15,-1.03
2345,智邦,5.66,5.66,0.0,5.65,0.01
2317,鴻海,4.5,4.5,0.0,4.55,-0.05
2368,金像電,3.94,3.94,0.0,3.29,0.65
3653,健策,3.41,3.41,0.0,3.25,0.16
2059,川湖,3.32,3.32,0.0,3.57,-0.25
2454,聯發科,3.28,3.28,0.0,2.49,0.79
8210,勤誠,2.9,2.9,0.0,3.06,-0.16
2884,玉山金,2.83,2.83,0.0,2.69,0.14
4958,臻鼎-KY,2.61,2.61,0.0,1.61,1.0
8046,南電,2.46,2.46,0.0,2.61,-0.15
2357,華碩,2.43,2.43,0.0,3.44,-1.01
6274,台燿,1.63,1.63,0.0,0.73,0.9
3044,健鼎,1.31,1.31,0.0,2.56,-1.25
6805,富世達,1.21,1.21,0.0,0.0,1.21
2382,廣達,1.03,1.03,0.0,1.63,-0.6
1303,南亞,0.97,0.97,0.0,1.87,-0.9
3231,緯創,0.97,0.97,0.0,2.25,-1.28
6515,穎崴,0.88,0.88,0.0,1.21,-0.33
6510,精測,0.85,0.85,0.0,1.11,-0.26
3533,嘉澤,0.84,0.84,0.0,1.24,-0.4
4770,上品,0.82,0.82,0.0,1.23,-0.41
6223,旺矽,0.75,0.75,0.0,0.48,0.27
6139,亞翔,0.6,0.6,0.0,0.25,0.35
8996,高力,0.58,0.58,0.0,0.81,-0.23
6472,保瑞,0.5,0.5,0.0,0.0,0.5
3217,優群,0.48,0.48,0.0,0.36,0.12
3376,新日興,0.45,0.45,0.0,0.0,0.45
1210,大成,0.34,0.34,0.0,0.51,-0.17
6143,振曜,0.32,0.32,0.0,0.49,-0.17
2886,兆豐金,0.29,0.29,0.0,0.07,0.22
2891,中信金,0.28,0.28,0.0,0.41,-0.13
5347,世界,0.18,0.18,0.0,0.27,-0.09
3583,辛耘,0.17,0.17,0.0,0.0,0.17
2618,長榮航,0.14,0.14,0.0,0.21,-0.07
6757,台灣虎航,0.14,0.14,0.0,0.2,-0.06
3045,台灣大,0.04,0.04,0.0,0.06,-0.02
5274,信驊,0.04,0.04,0.0,1.29,-1.25
6669,緯穎,0.03,0.03,0.0,0.04,-0.01
3008,大立光,0.02,0.02,0.0,0.03,-0.01
1560,中砂,0.0,0.0,0.0,0.0,0.0
2327,國巨,0.0,0.0,0.0,0.01,-0.01
2439,美律,0.0,0.0,0.0,0.0,0.0
3605,宏致,0.0,0.0,0.0,0.53,-0.53
6278,台表科,0.0,0.0,0.0,0.0,0.0
8069,元太,0.0,0.0,0.0,0.0,0.0
