股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
2059,323000,3.2723,323000,3.1842,川湖,0,0.09,False,False,5075.0,5215.0
2308,357000,1.6783,357000,1.6989,台達電,0,-0.02,False,False,2360.0,2420.0
2327,1600000,2.4555,1600000,2.2983,國巨*,0,0.16,False,False,846.0,790.0
2330,1761000,8.0566,1761000,8.072,台積電,0,-0.02,False,False,2380.0,2355.0
2337,1465000,0.4767,1465000,0.4747,旺宏,0,0.0,False,False,175.5,167.5
2345,1012000,4.9346,1012000,4.7865,智邦,0,0.15,False,False,2425.0,2510.0
2360,207000,1.0375,207000,1.0153,致茂,0,0.02,False,False,2420.0,2580.0
2368,669000,1.722,669000,1.7188,金像電,0,0.0,False,False,1275.0,1325.0
2383,636000,6.2642,636000,6.338,台光電,0,-0.07,False,False,4860.0,5070.0
2454,412000,3.6457,412000,3.4562,聯發科,0,0.19,False,False,4525.0,4555.0
2455,2827000,2.2819,2827000,2.322,全新,0,-0.04,False,False,399.0,415.5
3017,651000,3.5221,651000,3.3768,奇鋐,0,0.15,False,False,2700.0,2785.0
3037,2902000,5.9195,2902000,5.9591,欣興,0,-0.04,False,False,975.0,1050.0
3081,380000,1.9821,380000,1.9341,聯亞,0,0.05,False,False,2575.0,2685.0
3105,2033000,2.0932,2033000,2.0853,穩懋,0,0.01,False,False,519.0,530.0
3189,486013,0.7307,486013,0.6896,景碩,0,0.04,False,False,743.0,774.0
3260,393000,0.326,393000,0.3174,威剛,0,0.01,False,False,469.5,427.0
3443,360000,3.2555,360000,3.2722,創意,0,-0.02,False,False,4535.0,4655.0
3491,47000,0.1976,47000,0.2012,昇達科,0,-0.0,False,False,2070.0,2165.0
3533,48000,0.2494,48000,0.2475,嘉澤,0,0.0,False,False,2615.0,2675.0
3583,567000,0.955,567000,0.9568,辛耘,0,-0.0,False,False,845.0,867.0
3653,197000,1.4696,197000,1.3592,健策,0,0.11,False,False,3990.0,3840.0
3661,293000,2.7634,293000,2.5178,世芯-KY,0,0.25,False,False,4575.0,4855.0
3665,667000,2.747,667000,2.7068,貿聯-KY,0,0.04,False,False,2195.0,2120.0
3711,1640000,1.9147,1640000,1.9503,日月光投控,0,-0.04,False,False,590.0,601.0
4991,574000,0.8195,574000,0.8155,環宇-KY,0,0.0,False,False,702.0,735.0
5274,30000,1.0781,30000,1.1065,信驊,0,-0.03,False,False,18095.0,18500.0
5289,157000,0.581,157000,0.5531,宜鼎,0,0.03,False,False,1875.0,1905.0
6139,259000,0.3909,259000,0.3952,亞翔,0,-0.0,False,False,762.0,777.0
6223,339000,3.7406,339000,3.9325,旺矽,0,-0.19,False,False,5515.0,5680.0
6274,636000,2.1066,636000,2.092,台燿,0,0.01,False,False,1590.0,1705.0
6442,80000,0.2929,80000,0.2872,光聖,0,0.01,False,False,1880.0,1885.0
6510,272000,1.7384,272000,1.6623,精測,0,0.08,False,False,3215.0,3290.0
6515,151000,2.5535,151000,2.5466,穎崴,0,0.01,False,False,8080.0,8705.0
6531,271000,0.5922,271000,0.6276,愛普*,0,-0.04,False,False,1075.0,1125.0
6584,1485000,2.1088,1485000,2.1504,南俊國際,0,-0.04,False,False,658.0,731.0
6669,400000,4.2855,400000,4.2392,緯穎,0,0.05,False,False,5475.0,5515.0
6805,112000,0.4612,112000,0.4207,富世達,0,0.04,False,False,2190.0,2120.0
7734,59000,0.3914,59000,0.422,印能科技,0,-0.03,False,False,3230.0,3415.0
7751,384000,1.3651,384000,1.3191,竑騰,0,0.05,False,False,1670.0,1830.0
7769,100000,1.4599,100000,1.6077,鴻勁,0,-0.15,False,False,7175.0,7515.0
8021,518000,0.4669,518000,0.4537,尖點,0,0.01,False,False,445.0,464.0
8046,1058000,1.8601,1058000,1.7462,南電,0,0.11,False,False,862.0,905.0
8299,489000,2.6314,489000,2.4508,群聯,0,0.18,False,False,2820.0,2770.0
8996,1674000,3.3983,1674000,3.5515,高力,0,-0.15,False,False,1050.0,1045.0
