股票代號,股票名稱,昨日權重%,今日權重%,Δ%,_merge
1210,大成,0.37,0.34,-0.03,both
1303,南亞,1.8,0.97,-0.83,both
1560,中砂,0.0,0.0,0.0,both
2059,川湖,3.34,3.32,-0.02,both
2308,台達電,5.81,6.68,0.87,both
2317,鴻海,4.37,4.5,0.13,both
2327,國巨,0.0,0.0,0.0,both
2330,台積電,9.15,9.11,-0.04,both
2345,智邦,5.71,5.66,-0.05,both
2357,華碩,2.62,2.43,-0.19,both
2368,金像電,3.74,3.94,0.2,both
2382,廣達,1.09,1.03,-0.06,both
2383,台光電,5.56,6.21,0.65,both
2439,美律,0.0,0.0,0.0,both
2454,聯發科,3.36,3.28,-0.08,both
2618,長榮航,0.15,0.14,-0.01,both
2884,玉山金,2.9,2.83,-0.07,both
2886,兆豐金,0.31,0.29,-0.02,both
2891,中信金,0.3,0.28,-0.02,both
3008,大立光,0.02,0.02,0.0,both
3017,奇鋐,6.2,6.12,-0.08,both
3044,健鼎,2.27,1.31,-0.96,both
3045,台灣大,0.04,0.04,0.0,both
3217,優群,0.5,0.48,-0.02,both
3231,緯創,1.03,0.97,-0.06,both
3376,新日興,0.48,0.45,-0.03,both
3533,嘉澤,0.8,0.84,0.04,both
3583,辛耘,0.0,0.17,0.17,right_only
3605,宏致,0.0,0.0,0.0,both
3653,健策,3.51,3.41,-0.1,both
3661,世芯-KY,6.27,6.28,0.01,both
3665,貿聯-KY,6.55,6.46,-0.09,both
4770,上品,0.88,0.82,-0.06,both
4958,臻鼎-KY,2.53,2.61,0.08,both
5274,信驊,1.03,0.04,-0.99,both
5347,世界,0.2,0.18,-0.02,both
6139,亞翔,0.44,0.6,0.16,both
6143,振曜,0.35,0.32,-0.03,both
6223,旺矽,0.81,0.75,-0.06,both
6274,台燿,1.08,1.63,0.55,both
6278,台表科,0.0,0.0,0.0,both
6472,保瑞,0.54,0.5,-0.04,both
6510,精測,0.88,0.85,-0.03,both
6515,穎崴,0.94,0.88,-0.06,both
6669,緯穎,0.03,0.03,0.0,both
6757,台灣虎航,0.14,0.14,0.0,both
6805,富世達,1.22,1.21,-0.01,both
8046,南電,2.5,2.46,-0.04,both
8069,元太,0.0,0.0,0.0,both
8210,勤誠,2.92,2.9,-0.02,both
8996,高力,0.63,0.58,-0.05,both
