股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
1519,292000,2.3453,292000,2.1449,華城,0,0.2,False,False,907.0,893.0
2059,127000,3.8209,129000,3.8569,川湖,-2000,-0.04,False,False,3400.0,3345.0
2308,494000,4.7098,502000,4.6776,台達電,-8000,0.03,False,False,1045.0,1060.0
2317,314000,0.6622,320000,0.6556,鴻海,-6000,0.01,False,False,233.5,234.5
2327,585000,1.4653,585000,1.3786,國巨*,0,0.09,False,False,273.5,278.5
2330,556000,8.5515,565000,8.7403,台積電,-9000,-0.19,False,False,1690.0,1710.0
2344,1079000,0.9685,1079000,0.9741,華邦電,0,-0.01,False,False,99.2,99.8
2345,343000,3.7483,350000,3.7362,智邦,-7000,0.01,False,False,1240.0,1215.0
2360,307000,2.7309,307000,2.7328,致茂,0,-0.0,False,False,966.0,989.0
2368,264000,1.6099,269000,1.5939,金像電,-5000,0.02,False,False,668.0,678.0
2382,213000,0.5479,213000,0.5376,廣達,0,0.01,False,False,283.0,286.0
2383,223000,3.3496,229000,3.3871,台光電,-6000,-0.04,False,False,1570.0,1670.0
2408,950000,2.0208,950000,1.9766,南亞科,0,0.04,False,False,237.5,236.5
2449,438000,1.0656,438000,1.0718,京元電子,0,-0.01,False,False,267.5,270.5
2451,945000,2.0441,945000,2.0474,創見,0,-0.0,False,False,238.0,240.5
3017,354000,4.5213,362000,4.4046,奇鋐,-8000,0.12,False,False,1380.0,1420.0
3037,365000,0.8207,365000,0.8387,欣興,0,-0.02,False,False,249.5,250.0
3131,139000,2.3004,139000,2.2445,弘塑,0,0.06,False,False,1785.0,1840.0
3163,612000,2.0009,625000,1.928,波若威,-13000,0.07,False,False,365.0,363.5
3189,209000,0.3233,213000,0.3401,景碩,-4000,-0.02,False,False,175.0,172.0
3260,804000,1.9778,819000,1.9782,威剛,-15000,-0.0,False,False,280.0,273.5
3324,40000,0.3568,40000,0.3441,雙鴻,0,0.01,False,False,969.0,992.0
3443,24000,0.5223,25000,0.5473,創意,-1000,-0.03,False,False,2505.0,2420.0
3529,72000,1.0944,73000,1.1094,力旺,-1000,-0.01,False,False,1680.0,1690.0
3653,14000,0.3085,14000,0.3026,健策,0,0.01,False,False,2380.0,2450.0
3661,62000,1.9294,63000,2.0945,世芯-KY,-1000,-0.17,False,False,3320.0,3460.0
3665,299000,4.0205,305000,3.918,貿聯-KY,-6000,0.1,False,False,1470.0,1495.0
4749,132000,1.0839,132000,1.095,新應材,0,-0.01,False,False,907.0,913.0
5274,23000,1.6725,9000,0.6517,信驊,14000,1.02,False,False,8755.0,8085.0
5289,154000,0.8934,157000,0.9175,宜鼎,-3000,-0.02,False,False,644.0,645.0
5347,2073000,2.312,2073000,2.2035,世界,0,0.11,False,False,127.0,124.0
5439,120000,0.3329,122000,0.3421,高技,-2000,-0.01,False,False,311.5,308.5
5536,238000,1.7211,238000,1.7483,聖暉*,0,-0.03,False,False,803.0,804.0
6223,167000,3.5223,170000,3.4987,旺矽,-3000,0.02,False,False,2230.0,2345.0
6442,124000,1.5168,124000,1.5031,光聖,0,0.01,False,False,1320.0,1360.0
6515,97000,3.0492,97000,3.0274,穎崴,0,0.02,False,False,3450.0,3495.0
6531,233000,0.9818,233000,1.0033,愛普*,0,-0.02,False,False,470.0,468.5
6584,104000,0.2923,104000,0.2935,南俊國際,0,-0.0,False,False,312.0,312.5
6669,81000,2.885,83000,2.9283,緯穎,-2000,-0.04,False,False,3945.0,3960.0
6781,182000,1.9725,182000,2.0498,AES-KY,0,-0.08,False,False,1170.0,1205.0
6805,52000,0.608,55000,0.6443,富世達,-3000,-0.04,False,False,1280.0,1300.0
7769,88000,2.7742,88000,2.7545,鴻勁,0,0.02,False,False,3465.0,3505.0
8021,500000,0.9646,500000,0.9476,尖點,0,0.02,False,False,222.5,214.5
8046,147000,0.3457,147000,0.3563,南電,0,-0.01,False,False,263.5,261.5
8210,162000,1.4264,162000,1.3951,勤誠,0,0.03,False,False,933.0,979.0
8299,272000,4.3425,341000,5.4602,群聯,-69000,-1.12,False,False,1795.0,1775.0
8358,696000,1.6338,696000,1.5929,金居,0,0.04,False,False,268.0,261.0
8996,366000,2.4558,366000,2.5031,高力,0,-0.05,False,False,708.0,746.0
