股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
2059,293000,6.0017,293000,5.8069,川湖,0,0.19,False,False,8655.0,8500.0
2303,7000000,2.8002,7000000,2.6202,聯電,0,0.18,False,False,160.0,166.0
2327,2066000,3.973,2066000,3.9844,國巨*,0,-0.01,False,False,776.0,798.0
2330,1406000,8.2673,1406000,8.4345,台積電,0,-0.17,False,False,2470.0,2440.0
2337,1343000,0.4806,1343000,0.4644,旺宏,0,0.02,False,False,136.5,148.5
2345,977000,5.5093,977000,5.5219,智邦,0,-0.01,False,False,2320.0,2340.0
2383,563000,6.8922,563000,6.9362,台光電,0,-0.04,False,False,4990.0,5080.0
2454,406000,3.6592,406000,3.6835,聯發科,0,-0.02,False,False,3700.0,3740.0
2455,2753000,2.0931,2753000,2.1462,全新,0,-0.05,False,False,313.0,315.5
3008,420000,4.089,420000,4.4404,大立光,0,-0.35,False,False,4260.0,4040.0
3017,1002000,5.2277,1002000,5.2658,奇鋐,0,-0.04,False,False,2225.0,2165.0
3026,909000,1.8356,459000,0.9273,禾伸堂,450000,0.91,False,False,766.0,838.0
3037,2097000,4.73,2097000,4.5432,欣興,0,0.19,False,False,882.0,936.0
3189,440013,0.896,440013,0.878,景碩,0,0.02,False,False,770.0,845.0
3260,358000,0.3519,358000,0.3576,威剛,0,-0.01,False,False,400.5,408.0
3264,72000,0.0389,72000,0.0388,欣銓,0,0.0,False,False,237.5,224.5
3363,300000,0.4316,300000,0.4305,上詮,0,0.0,False,False,555.0,597.0
3443,211000,2.0949,211000,2.1026,創意,0,-0.01,False,False,4185.0,4120.0
3491,1000,0.0028,1000,0.0029,昇達科,0,-0.0,False,False,1310.0,1195.0
3583,566000,1.1484,566000,1.0747,辛耘,0,0.07,False,False,830.0,842.0
3661,215000,1.9351,215000,1.9852,世芯-KY,0,-0.05,False,False,3770.0,3735.0
3665,955000,4.3956,955000,4.202,貿聯-KY,0,0.19,False,False,1955.0,1910.0
3711,1629000,2.6812,1629000,2.5884,日月光投控,0,0.09,False,False,682.0,683.0
5289,98000,0.3471,98000,0.351,宜鼎,0,-0.0,False,False,1395.0,1470.0
6139,250000,0.5392,250000,0.5168,亞翔,0,0.02,False,False,868.0,895.0
6182,4500000,1.9465,4500000,2.0804,合晶,0,-0.13,False,False,166.0,179.5
6187,1220000,3.1752,1220000,2.9789,萬潤,0,0.2,False,False,1075.0,1080.0
6223,326000,4.9729,326000,5.1235,旺矽,0,-0.15,False,False,6220.0,6330.0
6488,394000,1.4052,394000,1.4796,環球晶,0,-0.07,False,False,1370.0,1480.0
6515,99000,1.7308,99000,1.7277,穎崴,0,0.0,False,False,6735.0,7255.0
6584,2231000,3.5806,2231000,3.7109,南俊國際,0,-0.13,False,False,643.0,666.0
6805,109000,0.3664,109000,0.3566,富世達,0,0.01,False,False,1415.0,1395.0
7734,56000,0.4109,56000,0.3845,印能科技,0,0.03,False,False,3160.0,3045.0
7751,318000,0.9272,368000,1.0353,竑騰,-50000,-0.11,False,False,1240.0,1210.0
8021,1501000,1.9243,1501000,1.8139,尖點,0,0.11,False,False,505.0,532.0
8299,445000,2.2573,445000,2.2613,群聯,0,-0.0,False,False,1980.0,2105.0
8996,1630000,4.6547,1630000,4.7477,高力,0,-0.09,False,False,1125.0,1185.0
