股票代號,股票名稱,昨日權重%,今日權重%,Δ%,_merge
1210,大成,0.45,0.39,-0.06,both
1303,南亞,2.0,1.99,-0.01,both
1560,中砂,0.0,0.0,0.0,both
2059,川湖,3.48,3.39,-0.09,both
2308,台達電,5.84,5.86,0.02,both
2317,鴻海,4.41,3.88,-0.53,both
2327,國巨,0.01,0.01,0.0,both
2330,台積電,9.08,9.15,0.07,both
2345,智邦,5.69,5.77,0.08,both
2357,華碩,3.15,2.7,-0.45,both
2368,金像電,3.56,3.45,-0.11,both
2382,廣達,1.41,1.18,-0.23,both
2383,台光電,5.1,5.11,0.01,both
2439,美律,0.0,0.0,0.0,both
2454,聯發科,2.51,2.86,0.35,both
2618,長榮航,0.18,0.16,-0.02,both
2884,玉山金,2.65,2.85,0.2,both
2886,兆豐金,0.06,0.05,-0.01,both
2891,中信金,0.36,0.32,-0.04,both
3008,大立光,0.03,0.02,-0.01,both
3017,奇鋐,7.18,7.28,0.1,both
3044,健鼎,2.44,2.43,-0.01,both
3045,台灣大,0.05,0.04,-0.01,both
3217,優群,0.65,0.55,-0.1,both
3231,緯創,1.98,1.12,-0.86,both
3515,華擎,0.0,0.0,0.0,both
3533,嘉澤,1.08,0.89,-0.19,both
3605,宏致,0.52,0.46,-0.06,both
3653,健策,3.4,3.35,-0.05,both
3661,世芯-KY,6.0,6.07,0.07,both
3665,貿聯-KY,6.43,6.55,0.12,both
3706,神達,0.0,0.0,0.0,left_only
4770,上品,1.25,0.98,-0.27,both
4958,臻鼎-KY,1.98,2.61,0.63,both
5274,信驊,1.17,1.05,-0.12,both
5347,世界,0.24,0.21,-0.03,both
6139,亞翔,0.22,0.19,-0.03,both
6143,振曜,0.43,0.37,-0.06,both
6223,旺矽,0.43,0.4,-0.03,both
6274,台燿,0.64,0.57,-0.07,both
6278,台表科,0.0,0.0,0.0,both
6472,保瑞,0.0,0.29,0.29,right_only
6510,精測,0.99,0.86,-0.13,both
6515,穎崴,1.06,0.92,-0.14,both
6669,緯穎,0.04,0.03,-0.01,both
6757,台灣虎航,0.18,0.15,-0.03,both
6805,富世達,0.75,0.65,-0.1,both
8046,南電,2.62,2.5,-0.12,both
8069,元太,0.0,0.0,0.0,both
8210,勤誠,3.19,3.07,-0.12,both
8996,高力,0.71,0.63,-0.08,both
