股票代號,股票名稱,收盤價,股數_2025-09-03,今日權重%,股數_2025-09-02,昨日權重%,買賣超股數,權重Δ%
2891,中信金,,0,0.0,1000,0.0,-1000,0.0
2354,鴻準,69.4,2204000,0.0,0,0.0,2204000,0.0
2317,鴻海,200.5,1000,0.0,1000,0.0,0,0.0
2439,美律,102.5,1000,0.0,1000,0.0,0,0.0
6278,台表科,106.0,1000,0.0,1000,0.0,0,0.0
8996,高力,333.0,1000,0.0,1000,0.0,0,0.0
3217,優群,174.0,1000,0.0,1000,0.0,0,0.0
6139,亞翔,370.5,1000,0.0,1000,0.0,0,0.0
6515,穎崴,1565.0,1000,0.0,1000,0.01,0,-0.01
3045,台灣大,106.5,43000,0.0,43000,0.02,0,-0.02
6757,台灣虎航,84.8,142000,0.0,142000,0.06,0,-0.06
2618,長榮航,39.55,430000,0.0,430000,0.08,0,-0.08
5347,世界,90.8000030517578,232000,0.0,232000,0.11,0,-0.11
2886,兆豐金,41.1,818000,0.0,818000,0.17,0,-0.17
3211,順達,368.0,102000,0.0,102000,0.18,0,-0.18
1210,大成,53.2,754000,0.0,754000,0.2,0,-0.2
2059,川湖,3130.0,57000,0.0,24000,0.35,33000,-0.35
6143,振曜,138.5,1000,0.0,556000,0.35,-555000,-0.35
3529,力旺,2460.0,80000,0.0,30000,0.35,50000,-0.35
3008,大立光,2360.0,32000,0.0,32000,0.37,0,-0.37
1560,中砂,334.5,1000,0.0,234000,0.38,-233000,-0.38
4770,上品,313.0,420000,0.0,360000,0.54,60000,-0.54
3231,緯創,110.0,998000,0.0,998000,0.55,0,-0.55
4966,譜瑞-KY,756.0,161000,0.0,161000,0.6,0,-0.6
6472,保瑞,740.0,251000,0.0,176000,0.64,75000,-0.64
2481,強茂,71.0,2175000,0.0,2175000,0.73,0,-0.73
3376,新日興,230.5,800000,0.0,800000,0.92,0,-0.92
3533,嘉澤,1415.0,159000,0.0,159000,1.11,0,-1.11
8028,昇陽半導體,175.0,1499000,0.0,1499000,1.19,0,-1.19
3131,弘塑,1495.0,206000,0.0,206000,1.51,0,-1.51
3583,辛耘,382.0,888000,0.0,888000,1.66,0,-1.66
6805,富世達,977.0,386000,0.0,386000,1.96,0,-1.96
6669,緯穎,2925.0,182000,0.0,140000,2.02,42000,-2.02
2357,華碩,625.0,788000,0.0,726000,2.24,62000,-2.24
8210,勤誠,571.0,822000,0.0,822000,2.34,0,-2.34
2884,玉山金,33.95,14977010,0.0,14977010,2.54,0,-2.54
6274,台燿,320.5,1578000,0.0,1578000,2.58,0,-2.58
8046,南電,190.5,3399000,0.0,3399000,3.34,0,-3.34
2454,聯發科,1395.0,523000,0.0,523000,3.55,0,-3.55
6223,旺矽,1390.0,525000,0.0,525000,3.66,0,-3.66
4958,臻鼎-KY,183.5,4298000,0.0,4298000,3.96,0,-3.96
2368,金像電,442.0,1887000,0.0,1887000,4.1,0,-4.1
3017,奇鋐,936.0,869000,0.0,869000,4.12,0,-4.12
3653,健策,2215.0,388000,0.0,388000,4.13,0,-4.13
2308,台達電,680.0,1095000,0.0,1214000,4.15,-119000,-4.15
2449,京元電子,153.5,5977000,0.0,5977000,4.53,0,-4.53
2383,台光電,1165.0,926000,0.0,926000,5.32,0,-5.32
3661,世芯-KY,3980.0,291000,0.0,291000,5.59,0,-5.59
2345,智邦,970.0,1162000,0.0,1162000,5.59,0,-5.59
3665,貿聯-KY,967.0,1183848,0.0,1183848,5.67,0,-5.67
2330,台積電,1160.0,1601000,0.0,1601000,9.27,0,-9.27
