股票代號,股票名稱,收盤價,股數_2025-08-29,今日權重%,股數_2025-08-28,昨日權重%,買賣超股數,權重Δ%
6223,旺矽,,333000,2.47,249000,1.74,84000,0.73
3665,貿聯-KY,,1076848,6.18,1046848,5.59,30000,0.59
8028,昇陽半導體,,1499000,1.29,897000,0.74,602000,0.55
3653,健策,,352000,3.94,352000,3.65,0,0.29
2345,智邦,,983000,5.33,949000,5.08,34000,0.25
2449,京元電子,,3481000,2.9,3481000,2.69,0,0.21
2368,金像電,,1858000,5.01,1858000,4.92,0,0.09
6274,台燿,,1458000,2.86,1458000,2.78,0,0.08
2059,川湖,,24000,0.39,24000,0.38,0,0.01
2618,長榮航,,430000,0.09,430000,0.09,0,0.0
3217,優群,,171000,0.16,171000,0.16,0,0.0
3045,台灣大,,43000,0.02,43000,0.02,0,0.0
3376,新日興,,800000,1.13,800000,1.13,0,0.0
2891,中信金,,1000,0.0,1000,0.0,0,0.0
2439,美律,,1000,0.0,1000,0.0,0,0.0
8996,高力,,1000,0.0,1000,0.0,0,0.0
6515,穎崴,,1000,0.01,1000,0.01,0,0.0
6278,台表科,,1000,0.0,1000,0.0,0,0.0
6472,保瑞,,76000,0.3,76000,0.3,0,0.0
3605,宏致,,1000,0.0,1000,0.0,0,0.0
6757,台灣虎航,,142000,0.06,142000,0.06,0,0.0
6139,亞翔,,648000,1.22,648000,1.23,0,-0.01
4966,譜瑞-KY,,161000,0.67,161000,0.68,0,-0.01
5347,世界,,232000,0.11,232000,0.12,0,-0.01
3443,創意,,74000,0.53,74000,0.54,0,-0.01
3008,大立光,,32000,0.41,32000,0.42,0,-0.01
2886,兆豐金,,818000,0.17,818000,0.18,0,-0.01
1560,中砂,,593000,1.11,593000,1.12,0,-0.01
1210,大成,,754000,0.21,754000,0.22,0,-0.01
6143,振曜,,604000,0.39,619000,0.4,-15000,-0.01
4770,上品,,360000,0.55,360000,0.56,0,-0.01
6669,緯穎,,48000,0.76,48000,0.78,0,-0.02
3231,緯創,,998000,0.6,998000,0.62,0,-0.02
2481,強茂,,2175000,0.75,2175000,0.77,0,-0.02
3533,嘉澤,,159000,1.24,159000,1.27,0,-0.03
8046,南電,,3199000,3.76,3081000,3.79,118000,-0.03
4958,臻鼎-KY,,3998000,4.19,3998000,4.22,0,-0.03
3661,世芯-KY,,231000,5.0,231000,5.03,0,-0.03
6805,富世達,,336000,2.05,336000,2.09,0,-0.04
3583,辛耘,,808000,1.68,808000,1.73,0,-0.05
2357,華碩,,696000,2.35,696000,2.4,0,-0.05
2884,玉山金,,13477010,2.41,13477010,2.47,0,-0.06
8210,勤誠,,762000,2.48,762000,2.54,0,-0.06
3131,弘塑,,186000,1.5,186000,1.56,0,-0.06
2308,台達電,,1528000,5.8,1528000,5.9,0,-0.1
3017,奇鋐,,980000,5.29,980000,5.41,0,-0.12
2454,聯發科,,580000,4.24,580000,4.37,0,-0.13
2330,台積電,,1401000,8.68,1401000,8.85,0,-0.17
2383,台光電,,846000,5.51,846000,5.76,0,-0.25
2317,鴻海,,1000,0.0,1090000,1.22,-1089000,-1.22
