股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
1519,204000,1.2623,204000,1.2965,華城,0,-0.03,False,False,921.0,909.0
2059,134000,3.0284,134000,3.1116,川湖,0,-0.08,False,False,3350.0,3320.0
2308,270000,2.4996,396000,3.7848,台達電,-126000,-1.29,False,False,1440.0,1360.0
2317,325000,0.4789,325000,0.481,鴻海,0,-0.0,False,False,212.0,216.5
2330,556000,6.983,556000,7.1557,台積電,0,-0.17,False,False,1870.0,1845.0
2344,379000,0.3018,379000,0.285,華邦電,0,0.02,False,False,123.5,117.0
2345,488000,4.6175,488000,4.782,智邦,0,-0.16,False,False,1455.0,1390.0
2360,313000,3.0894,313000,3.3047,致茂,0,-0.22,False,False,1470.0,1450.0
2368,60000,0.3712,60000,0.3871,金像電,0,-0.02,False,False,917.0,909.0
2383,299000,5.2614,299000,5.5813,台光電,0,-0.32,False,False,2700.0,2585.0
2408,2379000,4.2348,2379000,3.9072,南亞科,0,0.33,False,False,271.5,261.5
2449,932000,1.8271,932000,1.9005,京元電子,0,-0.07,False,False,294.0,288.0
2486,1150000,1.1585,1150000,1.2062,一詮,0,-0.05,False,False,162.5,148.0
3017,331000,4.1233,331000,4.2599,奇鋐,0,-0.14,False,False,1905.0,1830.0
3037,1193000,4.4584,1193000,4.1822,欣興,0,0.28,False,False,543.0,549.0
3163,612000,3.9994,612000,3.7503,波若威,0,0.25,False,False,881.0,960.0
3189,237013,0.5437,237013,0.5193,景碩,0,0.02,False,False,341.5,337.0
3529,21000,0.3652,21000,0.3593,力旺,0,0.01,False,False,2810.0,2555.0
3533,228000,2.6152,228000,2.7534,嘉澤,0,-0.14,False,False,1820.0,1685.0
3653,14000,0.323,14000,0.3135,健策,0,0.01,False,False,3725.0,3390.0
3661,37000,0.787,37000,0.8145,世芯-KY,0,-0.03,False,False,3190.0,3125.0
3665,217000,2.4299,217000,2.381,貿聯-KY,0,0.05,False,False,1740.0,1645.0
4749,240000,1.5242,240000,1.5319,新應材,0,-0.01,False,False,915.0,933.0
5274,26000,1.8221,26000,1.883,信驊,0,-0.06,False,False,11320.0,10295.0
5289,157000,1.1328,157000,1.0996,宜鼎,0,0.03,False,False,1165.0,1060.0
5347,2501000,1.9748,2501000,1.9675,世界,0,0.01,False,False,118.5,116.0
5439,126000,0.235,126000,0.2391,高技,0,-0.0,False,False,272.5,274.0
6223,175000,4.2468,175000,4.2871,旺矽,0,-0.04,False,False,3580.0,3565.0
6442,124000,1.4645,124000,1.4461,光聖,0,0.02,False,False,1685.0,1735.0
6515,100000,4.1932,100000,4.3371,穎崴,0,-0.14,False,False,6620.0,6160.0
6531,245000,0.8805,245000,0.8977,愛普*,0,-0.02,False,False,580.0,528.0
6584,136000,0.3619,136000,0.3646,南俊國際,0,-0.0,False,False,396.0,391.0
6669,50000,1.3631,50000,1.4043,緯穎,0,-0.04,False,False,3965.0,4005.0
6781,191000,1.3066,191000,1.3246,AES-KY,0,-0.02,False,False,1010.0,1005.0
6805,55000,0.6551,55000,0.6661,富世達,0,-0.01,False,False,1745.0,1750.0
7751,166000,1.582,166000,1.5178,竑騰,0,0.06,False,False,1425.0,1400.0
7769,127000,3.5229,127000,3.4618,鴻勁,0,0.06,False,False,4230.0,4075.0
8021,509920,0.8191,509920,0.8568,尖點,0,-0.04,False,False,237.0,236.0
8046,560000,2.1576,160000,0.5686,南電,400000,1.59,False,False,544.0,566.0
8210,165000,0.9974,165000,1.0179,勤誠,0,-0.02,False,False,881.0,888.0
8299,394000,5.3104,394000,4.894,群聯,0,0.42,False,False,1945.0,1980.0
8358,713000,1.2133,713000,1.1882,金居,0,0.03,False,False,263.0,250.0
8996,599000,3.7717,599000,3.7161,高力,0,0.06,False,False,918.0,925.0
