股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
1303,1000,0.0,1000,0.0,南亞,0,0.0,False,False,81.7,77.1
1319,2563000,0.53,2563000,0.53,東陽,0,0.0,False,False,109.0,108.0
1802,2065000,0.2,2065000,0.2,台玻,0,0.0,False,False,51.8,49.8
1815,4454000,0.81,4454000,0.79,富喬,0,0.02,False,False,95.8000030517578,93.6999969482422
2059,117000,0.78,147000,1.0,川湖,-30000,-0.22,False,False,3500.0,3570.0
2308,3094000,7.24,3094000,7.43,台達電,0,-0.19,False,False,1230.0,1260.0
2313,5013000,1.69,5013000,1.63,華通,0,0.06,False,False,177.0,171.0
2317,1000,0.0,1000,0.0,鴻海,0,0.0,False,False,224.0,221.5
2327,6551000,3.58,6551000,3.64,國巨*,0,-0.06,False,False,287.0,291.5
2330,2913000,9.73,2913000,9.82,台積電,0,-0.09,False,False,1755.0,1770.0
2345,2526000,5.53,2526000,5.65,智邦,0,-0.12,False,False,1150.0,1175.0
2357,2000,0.0,2000,0.0,華碩,0,0.0,False,False,505.0,515.0
2368,2797000,3.54,2797000,3.44,金像電,0,0.1,False,False,666.0,646.0
2383,1352000,4.48,1352000,4.64,台光電,0,-0.16,False,False,1740.0,1800.0
2439,2000,0.0,2000,0.0,美律,0,0.0,False,False,106.0,106.0
2449,1000,0.0,1000,0.0,京元電子,0,0.0,False,False,297.5,286.5
2454,1000,0.0,1000,0.0,聯發科,0,0.0,False,False,1770.0,1630.0
2884,2010,0.0,2010,0.0,玉山金,0,0.0,False,False,33.65,33.25
3008,3000,0.01,3000,0.01,大立光,0,0.0,False,False,2450.0,2460.0
3017,2290000,5.97,2290000,6.0,奇鋐,0,-0.03,False,False,1370.0,1375.0
3037,1866000,1.18,1866000,1.2,欣興,0,-0.02,False,False,333.0,339.0
3045,2000,0.0,2000,0.0,台灣大,0,0.0,False,False,107.5,107.5
3211,570000,0.34,570000,0.35,順達,0,-0.01,False,False,316.0,319.0
3217,326000,0.1,326000,0.1,優群,0,0.0,False,False,164.0,159.5
3376,727000,0.31,727000,0.31,新日興,0,0.0,False,False,225.0,226.5
3533,376000,1.06,376000,1.04,嘉澤,0,0.02,False,False,1480.0,1450.0
3583,2000,0.0,2000,0.0,辛耘,0,0.0,False,False,327.5,331.5
3653,767000,4.0,767000,4.08,健策,0,-0.08,False,False,2740.0,2795.0
3661,458000,3.07,458000,2.99,世芯-KY,0,0.08,False,False,3520.0,3430.0
3665,1483848,4.04,1483848,3.93,貿聯-KY,0,0.11,False,False,1430.0,1390.0
3711,2000,0.0,2000,0.0,日月光投控,0,0.0,False,False,312.0,307.5
3715,1960,0.0,1960,0.0,定穎投控,0,0.0,False,False,155.5,141.5
5269,262000,0.69,262000,0.67,祥碩,0,0.02,False,False,1375.0,1350.0
5274,142000,2.4,142000,2.4,信驊,0,0.0,False,False,8880.0,8870.0
5536,1000,0.0,17000,0.02,聖暉*,-16000,-0.02,False,False,660.0,684.0
6139,668000,0.69,668000,0.7,亞翔,0,-0.01,False,False,541.0,552.0
6191,3238000,0.72,3238000,0.74,精成科,0,-0.02,False,False,117.5,119.5
6223,962000,4.73,962000,4.66,旺矽,0,0.07,False,False,2585.0,2545.0
6274,5399000,5.26,5399000,5.18,台燿,0,0.08,False,False,512.0,504.0
6415,1474000,0.73,1474000,0.74,矽力*-KY,0,-0.01,False,False,261.5,265.0
6488,766000,0.77,766000,0.77,環球晶,0,0.0,False,False,525.0,528.0
6510,47000,0.29,47000,0.26,精測,0,0.03,False,False,3220.0,2930.0
6515,225000,1.74,214000,1.59,穎崴,11000,0.15,False,False,4065.0,3905.0
6669,722000,5.27,722000,5.08,緯穎,0,0.19,False,False,3840.0,3695.0
6805,1016000,2.73,1016000,2.67,富世達,0,0.06,False,False,1410.0,1380.0
8046,3788000,2.67,3788000,2.76,南電,0,-0.09,False,False,370.0,382.0
8210,1563000,2.89,1563000,2.89,勤誠,0,0.0,False,False,971.0,969.0
8299,1848000,7.29,1848000,7.04,群聯,0,0.25,False,False,2075.0,2000.0
8358,1826000,0.94,1826000,0.95,金居,0,-0.01,False,False,270.0,274.5
8996,1000,0.0,1000,0.0,高力,0,0.0,False,False,730.0,718.0
