股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出
1210,754000.0,0.19,754000.0,0.19,大成,0,0.0,False,False
1560,0.0,0.0,1000.0,0.0,中砂,-1000,0.0,False,True
2059,114000.0,1.75,94000.0,1.41,川湖,20000,0.34,False,False
2308,1095000.0,3.96,1095000.0,3.7,台達電,0,0.26,False,False
2317,817000.0,0.78,1000.0,0.0,鴻海,816000,0.78,False,False
2330,1688000.0,9.34,1688000.0,9.27,台積電,0,0.07,False,False
2345,1229000.0,5.78,1229000.0,5.84,智邦,0,-0.06,False,False
2354,2204000.0,0.71,2204000.0,0.7,鴻準,0,0.01,False,False
2357,912000.0,2.78,852000.0,2.56,華碩,60000,0.22,False,False
2368,1650000.0,3.54,1650000.0,3.45,金像電,0,0.09,False,False
2383,926000.0,5.23,926000.0,4.94,台光電,0,0.29,False,False
2439,1000.0,0.0,1000.0,0.0,美律,0,0.0,False,False
2449,5977000.0,4.7,5977000.0,4.7,京元電子,0,0.0,False,False
2454,471000.0,3.28,496000.0,3.3,聯發科,-25000,-0.02,False,False
2618,430000.0,0.08,430000.0,0.08,長榮航,0,0.0,False,False
2884,14977010.0,2.34,14977010.0,2.34,玉山金,0,0.0,False,False
2886,818000.0,0.16,818000.0,0.16,兆豐金,0,0.0,False,False
3008,32000.0,0.35,32000.0,0.36,大立光,0,-0.01,False,False
3017,869000.0,3.85,869000.0,3.9,奇鋐,0,-0.05,False,False
3045,43000.0,0.02,43000.0,0.02,台灣大,0,0.0,False,False
3131,206000.0,1.48,206000.0,1.45,弘塑,0,0.03,False,False
3211,359000.0,0.67,359000.0,0.68,順達,0,-0.01,False,False
3217,1000.0,0.0,1000.0,0.0,優群,0,0.0,False,False
3231,1796000.0,0.96,1591000.0,0.85,緯創,205000,0.11,False,False
3264,1686000.0,0.67,1686000.0,0.65,欣銓,0,0.02,False,False
3376,800000.0,0.86,800000.0,0.87,新日興,0,-0.01,False,False
3406,253000.0,0.52,253000.0,0.53,玉晶光,0,-0.01,False,False
3515,196000.0,0.26,196000.0,0.24,華擎,0,0.02,False,False
3529,91000.0,0.97,91000.0,1.0,力旺,0,-0.03,False,False
3533,238000.0,1.67,238000.0,1.68,嘉澤,0,-0.01,False,False
3583,888000.0,1.59,888000.0,1.58,辛耘,0,0.01,False,False
3653,388000.0,4.39,388000.0,4.43,健策,0,-0.04,False,False
3661,291000.0,5.25,291000.0,5.38,世芯-KY,0,-0.13,False,False
3665,1231848.0,6.19,1231848.0,6.22,貿聯-KY,0,-0.03,False,False
3711,852000.0,0.66,623000.0,0.5,日月光投控,229000,0.16,False,False
4770,484000.0,0.71,484000.0,0.72,上品,0,-0.01,False,False
4958,3389000.0,2.61,3389000.0,2.65,臻鼎-KY,0,-0.04,False,False
4966,308000.0,1.12,308000.0,1.15,譜瑞-KY,0,-0.03,False,False
5347,663000.0,0.28,663000.0,0.28,世界,0,0.0,False,False
6139,1000.0,0.0,1000.0,0.0,亞翔,0,0.0,False,False
6223,527000.0,3.67,527000.0,3.74,旺矽,0,-0.07,False,False
6274,1911000.0,2.77,1816000.0,2.6,台燿,95000,0.17,False,False
6278,1000.0,0.0,1000.0,0.0,台表科,0,0.0,False,False
6472,304000.0,1.03,304000.0,1.06,保瑞,0,-0.03,False,False
6515,1000.0,0.01,1000.0,0.01,穎崴,0,0.0,False,False
6669,272000.0,3.77,272000.0,3.96,緯穎,0,-0.19,False,False
6757,142000.0,0.06,142000.0,0.06,台灣虎航,0,0.0,False,False
6805,414000.0,1.91,414000.0,1.99,富世達,0,-0.08,False,False
8046,2540000.0,2.15,2991000.0,2.59,南電,-451000,-0.44,False,False
8210,822000.0,2.24,822000.0,2.3,勤誠,0,-0.06,False,False
8996,1000.0,0.0,0.0,0.0,高力,1000,0.0,True,False
