股票代號,股票名稱,昨日權重%,今日權重%,Δ%,_merge
1210,大成,0.59,0.51,-0.08,both
1303,南亞,1.77,1.87,0.1,both
1560,中砂,0.0,0.0,0.0,both
2059,川湖,3.47,3.57,0.1,both
2308,台達電,5.96,5.83,-0.13,both
2317,鴻海,4.51,4.55,0.04,both
2327,國巨,0.01,0.01,0.0,both
2330,台積電,9.22,9.12,-0.1,both
2345,智邦,5.48,5.65,0.17,both
2357,華碩,3.7,3.44,-0.26,both
2368,金像電,3.08,3.29,0.21,both
2382,廣達,2.22,1.63,-0.59,both
2383,台光電,4.7,4.72,0.02,both
2439,美律,0.0,0.0,0.0,both
2454,聯發科,2.5,2.49,-0.01,both
2609,陽明,0.38,0.34,-0.04,both
2618,長榮航,0.23,0.21,-0.02,both
2884,玉山金,2.79,2.69,-0.1,both
2886,兆豐金,0.07,0.07,0.0,both
2891,中信金,0.45,0.41,-0.04,both
3008,大立光,0.03,0.03,0.0,both
3017,奇鋐,7.26,7.15,-0.11,both
3044,健鼎,2.44,2.56,0.12,both
3045,台灣大,0.06,0.06,0.0,both
3217,優群,0.39,0.36,-0.03,both
3231,緯創,2.11,2.25,0.14,both
3515,華擎,0.0,0.0,0.0,both
3533,嘉澤,1.38,1.24,-0.14,both
3605,宏致,0.56,0.53,-0.03,both
3653,健策,3.23,3.25,0.02,both
3661,世芯-KY,4.71,5.09,0.38,both
3665,貿聯-KY,6.54,6.55,0.01,both
3706,神達,1.65,1.54,-0.11,both
4770,上品,1.2,1.23,0.03,both
4958,臻鼎-KY,1.61,1.61,0.0,both
5274,信驊,1.43,1.29,-0.14,both
5347,世界,0.3,0.27,-0.03,both
6139,亞翔,0.28,0.25,-0.03,both
6143,振曜,0.56,0.49,-0.07,both
6223,旺矽,0.53,0.48,-0.05,both
6274,台燿,0.79,0.73,-0.06,both
6278,台表科,0.0,0.0,0.0,both
6510,精測,1.22,1.11,-0.11,both
6515,穎崴,1.33,1.21,-0.12,both
6669,緯穎,0.04,0.04,0.0,both
6757,台灣虎航,0.22,0.2,-0.02,both
8046,南電,2.13,2.61,0.48,both
8069,元太,0.0,0.0,0.0,both
8210,勤誠,2.94,3.06,0.12,both
8996,高力,0.81,0.81,0.0,both
