股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出
1303,6080000.0,1.08,6080000.0,1.1,南亞,0,-0.02,False,False
1560,511000.0,0.8,511000.0,0.81,中砂,0,-0.01,False,False
2059,179000.0,2.74,179000.0,2.72,川湖,0,0.02,False,False
2308,914000.0,3.75,914000.0,3.66,台達電,0,0.09,False,False
2317,3896000.0,4.03,3896000.0,3.92,鴻海,0,0.11,False,False
2330,1600000.0,10.03,1600000.0,9.75,台積電,0,0.28,False,False
2344,1000.0,0.0,1000.0,0.0,華邦電,0,0.0,False,False
2345,1330000.0,6.56,1330000.0,6.36,智邦,0,0.2,False,False
2354,3285000.0,1.07,3285000.0,1.06,鴻準,0,0.01,False,False
2357,892000.0,2.8,1042000.0,3.24,華碩,-150000,-0.44,False,False
2368,2028000.0,4.05,2028000.0,4.06,金像電,0,-0.01,False,False
2383,925000.0,5.5,925000.0,5.23,台光電,0,0.27,False,False
2439,1000.0,0.0,1000.0,0.0,美律,0,0.0,False,False
2449,4496000.0,3.46,4996000.0,3.79,京元電子,-500000,-0.33,False,False
2454,104000.0,0.61,104000.0,0.61,聯發科,0,0.0,False,False
2884,645010.0,0.1,8091010.0,1.24,玉山金,-7446000,-1.14,False,False
2886,0.0,0.0,122000.0,0.02,兆豐金,-122000,-0.02,False,True
3008,2000.0,0.02,2000.0,0.02,大立光,0,0.0,False,False
3017,1190000.0,6.01,1123000.0,5.29,奇鋐,67000,0.72,False,False
3037,1069000.0,0.75,1069000.0,0.76,欣興,0,-0.01,False,False
3045,43000.0,0.02,43000.0,0.02,台灣大,0,0.0,False,False
3131,1000.0,0.01,1000.0,0.01,弘塑,0,0.0,False,False
3211,410000.0,0.69,410000.0,0.71,順達,0,-0.02,False,False
3217,1000.0,0.0,1000.0,0.0,優群,0,0.0,False,False
3231,2099000.0,1.44,1899000.0,1.28,緯創,200000,0.16,False,False
3264,1000.0,0.0,1000.0,0.0,欣銓,0,0.0,False,False
3376,1237000.0,1.48,1237000.0,1.49,新日興,0,-0.01,False,False
3406,585000.0,1.14,585000.0,1.15,玉晶光,0,-0.01,False,False
3515,332000.0,0.42,332000.0,0.42,華擎,0,0.0,False,False
3529,91000.0,0.83,91000.0,0.85,力旺,0,-0.02,False,False
3533,240000.0,1.73,240000.0,1.68,嘉澤,0,0.05,False,False
3583,294000.0,0.51,299000.0,0.53,辛耘,-5000,-0.02,False,False
3653,312000.0,3.54,312000.0,3.51,健策,0,0.03,False,False
3661,203000.0,3.06,203000.0,3.17,世芯-KY,0,-0.11,False,False
3665,1207848.0,5.68,1207848.0,5.78,貿聯-KY,0,-0.1,False,False
3711,862000.0,0.65,862000.0,0.65,日月光投控,0,0.0,False,False
4770,241000.0,0.33,241000.0,0.33,上品,0,0.0,False,False
4958,1000.0,0.0,1000.0,0.0,臻鼎-KY,0,0.0,False,False
4966,386000.0,1.31,386000.0,1.32,譜瑞-KY,0,-0.01,False,False
5274,62000.0,1.58,62000.0,1.48,信驊,0,0.1,False,False
5347,1498000.0,0.69,1498000.0,0.69,世界,0,0.0,False,False
6139,1000.0,0.0,0.0,0.0,亞翔,1000,0.0,True,False
6191,1512000.0,0.82,1512000.0,0.84,精成科,0,-0.02,False,False
6223,533000.0,4.22,533000.0,4.18,旺矽,0,0.04,False,False
6274,1921000.0,2.9,1921000.0,2.8,台燿,0,0.1,False,False
6472,307000.0,0.98,307000.0,0.98,保瑞,0,0.0,False,False
6515,1000.0,0.01,1000.0,0.01,穎崴,0,0.0,False,False
6669,302000.0,4.6,302000.0,4.58,緯穎,0,0.02,False,False
6805,515000.0,2.38,515000.0,2.4,富世達,0,-0.02,False,False
8210,832000.0,2.32,832000.0,2.25,勤誠,0,0.07,False,False
8996,236000.0,0.43,176000.0,0.29,高力,60000,0.14,False,False
