股票代號,股票名稱,今日%,昨日%,D1Δ%,T-5日%,D5Δ%
2330,台積電,9.15,9.15,0.0,9.22,-0.07
3665,貿聯-KY,6.55,6.55,0.0,6.54,0.01
3661,世芯-KY,6.27,6.07,0.2,4.71,1.56
3017,奇鋐,6.2,7.28,-1.08,7.26,-1.06
2308,台達電,5.81,5.86,-0.05,5.96,-0.15
2345,智邦,5.71,5.77,-0.06,5.48,0.23
2383,台光電,5.56,5.11,0.45,4.7,0.86
2317,鴻海,4.37,3.88,0.49,4.51,-0.14
2368,金像電,3.74,3.45,0.29,3.08,0.66
3653,健策,3.51,3.35,0.16,3.23,0.28
2454,聯發科,3.36,2.86,0.5,2.5,0.86
2059,川湖,3.34,3.39,-0.05,3.47,-0.13
8210,勤誠,2.92,3.07,-0.15,2.94,-0.02
2884,玉山金,2.9,2.85,0.05,2.79,0.11
2357,華碩,2.62,2.7,-0.08,3.7,-1.08
4958,臻鼎-KY,2.53,2.61,-0.08,1.61,0.92
8046,南電,2.5,2.5,0.0,2.13,0.37
3044,健鼎,2.27,2.43,-0.16,2.44,-0.17
1303,南亞,1.8,1.99,-0.19,1.77,0.03
6805,富世達,1.22,0.65,0.57,0.0,1.22
2382,廣達,1.09,1.18,-0.09,2.22,-1.13
6274,台燿,1.08,0.57,0.51,0.79,0.29
3231,緯創,1.03,1.12,-0.09,2.11,-1.08
5274,信驊,1.03,1.05,-0.02,1.43,-0.4
6515,穎崴,0.94,0.92,0.02,1.33,-0.39
4770,上品,0.88,0.98,-0.1,1.2,-0.32
6510,精測,0.88,0.86,0.02,1.22,-0.34
6223,旺矽,0.81,0.4,0.41,0.53,0.28
3533,嘉澤,0.8,0.89,-0.09,1.38,-0.58
8996,高力,0.63,0.63,0.0,0.81,-0.18
6472,保瑞,0.54,0.29,0.25,0.0,0.54
3217,優群,0.5,0.55,-0.05,0.39,0.11
3376,新日興,0.48,0.0,0.48,0.0,0.48
6139,亞翔,0.44,0.19,0.25,0.28,0.16
1210,大成,0.37,0.39,-0.02,0.59,-0.22
6143,振曜,0.35,0.37,-0.02,0.56,-0.21
2886,兆豐金,0.31,0.05,0.26,0.07,0.24
2891,中信金,0.3,0.32,-0.02,0.45,-0.15
5347,世界,0.2,0.21,-0.01,0.3,-0.1
2618,長榮航,0.15,0.16,-0.01,0.23,-0.08
6757,台灣虎航,0.14,0.15,-0.01,0.22,-0.08
3045,台灣大,0.04,0.04,0.0,0.06,-0.02
6669,緯穎,0.03,0.03,0.0,0.04,-0.01
3008,大立光,0.02,0.02,0.0,0.03,-0.01
1560,中砂,0.0,0.0,0.0,0.0,0.0
2327,國巨,0.0,0.01,-0.01,0.01,-0.01
2439,美律,0.0,0.0,0.0,0.0,0.0
3605,宏致,0.0,0.46,-0.46,0.56,-0.56
6278,台表科,0.0,0.0,0.0,0.0,0.0
8069,元太,0.0,0.0,0.0,0.0,0.0
