股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
1303,1000,0.0,1000,0.0,南亞,0,0.0,False,False,85.0,89.5
1319,1498000,0.21,1498000,0.22,東陽,0,-0.01,False,False,95.0,98.0
1326,1000,0.0,1000,0.0,台化,0,0.0,False,False,46.900001525878906,48.2
1802,5996000,0.57,5996000,0.61,台玻,0,-0.04,False,False,63.70000076293945,67.2
1815,1000,0.0,1000,0.0,富喬,0,0.0,False,False,112.5,107.5
2002,4924000,0.15,4924000,0.15,中鋼,0,0.0,False,False,20.049999237060547,20.25
2059,1000,0.0,1000,0.01,川湖,0,-0.01,False,False,3280.0,3420.0
2308,3133000,6.23,3133000,6.73,台達電,0,-0.5,False,False,1340.0,1425.0
2313,1000,0.0,1000,0.0,華通,0,0.0,False,False,224.5,224.5
2327,7499000,3.12,6839000,3.01,國巨*,660000,0.11,False,False,280.5,292.0
2330,3072000,8.82,3072000,9.15,台積電,0,-0.33,False,False,1935.0,1975.0
2345,2660000,5.61,2660000,5.68,智邦,0,-0.07,False,False,1420.0,1415.0
2357,2000,0.0,2000,0.0,華碩,0,0.0,False,False,521.0,530.0
2368,2887000,3.28,2887000,3.43,金像電,0,-0.15,False,False,766.0,787.0
2383,1809000,6.23,1809000,6.49,台光電,0,-0.26,False,False,2320.0,2380.0
2404,537000,0.81,537000,0.87,漢唐,0,-0.06,False,False,1015.0,1075.0
2439,2000,0.0,2000,0.0,美律,0,0.0,False,False,87.80000305175781,91.2
2449,2676000,1.21,2676000,1.27,京元電子,0,-0.06,False,False,305.0,316.0
2454,1000,0.0,1000,0.0,聯發科,0,0.0,False,False,1815.0,1900.0
3008,4000,0.01,4000,0.01,大立光,0,0.0,False,False,2450.0,2455.0
3017,2402000,6.4,2402000,6.39,奇鋐,0,0.01,False,False,1795.0,1765.0
3037,5952000,4.09,5952000,4.32,欣興,0,-0.23,False,False,463.0,481.0
3045,2000,0.0,2000,0.0,台灣大,0,0.0,False,False,108.5,108.5
3211,1515000,0.69,1515000,0.71,順達,0,-0.02,False,False,309.0,312.0
3217,346000,0.08,346000,0.08,優群,0,0.0,False,False,153.5,156.5
3324,106000,0.17,106000,0.18,雙鴻,0,-0.01,False,False,1080.0,1130.0
3376,1368000,0.43,1368000,0.44,新日興,0,-0.01,False,False,211.0,215.5
3533,1000,0.0,1000,0.0,嘉澤,0,0.0,False,False,1660.0,1700.0
3583,2000,0.0,2000,0.0,辛耘,0,0.0,False,False,364.5,368.0
3653,954000,4.3,954000,4.38,健策,0,-0.08,False,False,3040.0,3045.0
3661,567000,2.82,567000,2.94,世芯-KY,0,-0.12,False,False,3355.0,3440.0
3665,2019848,4.93,1939848,4.4,貿聯-KY,80000,0.53,False,False,1645.0,1505.0
3711,2000,0.0,2000,0.0,日月光投控,0,0.0,False,False,359.5,370.5
4979,1219000,0.84,1219000,0.85,華星光,0,-0.01,False,False,464.5,462.5
5274,102000,1.4,102000,1.46,信驊,0,-0.06,False,False,9255.0,9500.0
5536,1000,0.0,1000,0.0,聖暉*,0,0.0,False,False,688.0,700.0
6139,1679000,1.34,1679000,1.41,亞翔,0,-0.07,False,False,539.0,557.0
6191,3328000,0.52,3328000,0.55,精成科,0,-0.03,False,False,105.0,109.0
6223,1039000,4.4,1039000,4.39,旺矽,0,0.01,False,False,2855.0,2800.0
6274,4965000,3.96,4965000,4.04,台燿,0,-0.08,False,False,538.0,540.0
6488,787000,0.51,787000,0.52,環球晶,0,-0.01,False,False,433.5,440.0
6510,288000,1.53,288000,1.58,精測,0,-0.05,False,False,3580.0,3630.0
6515,232000,1.63,232000,1.67,穎崴,0,-0.04,False,False,4730.0,4775.0
6669,756000,4.65,756000,4.73,緯穎,0,-0.08,False,False,4145.0,4150.0
6805,1124000,2.94,1124000,2.96,富世達,0,-0.02,False,False,1760.0,1745.0
8046,4559000,3.38,4559000,3.72,南電,0,-0.34,False,False,500.0,541.0
8210,1593000,2.16,1593000,2.24,勤誠,0,-0.08,False,False,912.0,934.0
8299,1615000,4.21,1615000,4.68,群聯,0,-0.47,False,False,1755.0,1920.0
8358,1827000,0.72,1827000,0.79,金居,0,-0.07,False,False,264.5,286.5
8996,1000,0.0,1000,0.0,高力,0,0.0,False,False,831.0,879.0
