股票代號,股票名稱,收盤價,股數_2025-08-28,今日權重%,股數_2025-08-27,昨日權重%,買賣超股數,權重Δ%
2449,京元電子,,3481000,2.69,2417000,1.86,1064000,0.83
6669,緯穎,,48000,0.78,1000,0.02,47000,0.76
3376,新日興,,800000,1.13,400000,0.54,400000,0.59
8046,南電,,3081000,3.79,2922000,3.33,159000,0.46
6274,台燿,,1458000,2.78,1359000,2.5,99000,0.28
3665,貿聯-KY,,1046848,5.59,1021848,5.44,25000,0.15
2368,金像電,,1858000,4.92,1858000,4.9,0,0.02
3583,辛耘,,808000,1.73,808000,1.72,0,0.01
1560,中砂,,593000,1.12,593000,1.12,0,0.0
1210,大成,,754000,0.22,754000,0.22,0,0.0
3008,大立光,,32000,0.42,32000,0.42,0,0.0
3131,弘塑,,186000,1.56,186000,1.56,0,0.0
2886,兆豐金,,818000,0.18,818000,0.18,0,0.0
2481,強茂,,2175000,0.77,2175000,0.77,0,0.0
2618,長榮航,,430000,0.09,430000,0.09,0,0.0
2891,中信金,,1000,0.0,1000,0.0,0,0.0
2439,美律,,1000,0.0,1000,0.0,0,0.0
5347,世界,,232000,0.12,232000,0.12,0,0.0
8996,高力,,1000,0.0,1000,0.0,0,0.0
3605,宏致,,1000,0.0,1000,0.0,0,0.0
6278,台表科,,1000,0.0,1000,0.0,0,0.0
6143,振曜,,619000,0.4,619000,0.41,0,-0.01
3533,嘉澤,,159000,1.27,159000,1.28,0,-0.01
6472,保瑞,,76000,0.3,76000,0.31,0,-0.01
3443,創意,,74000,0.54,74000,0.55,0,-0.01
3045,台灣大,,43000,0.02,43000,0.03,0,-0.01
2059,川湖,,24000,0.38,24000,0.39,0,-0.01
8028,昇陽半導體,,897000,0.74,897000,0.76,0,-0.02
4770,上品,,360000,0.56,360000,0.58,0,-0.02
6757,台灣虎航,,142000,0.06,172000,0.08,-30000,-0.02
3217,優群,,171000,0.16,191000,0.18,-20000,-0.02
3231,緯創,,998000,0.62,998000,0.64,0,-0.02
2884,玉山金,,13477010,2.47,13477010,2.49,0,-0.02
4966,譜瑞-KY,,161000,0.68,161000,0.71,0,-0.03
4958,臻鼎-KY,,3998000,4.22,3998000,4.25,0,-0.03
2357,華碩,,696000,2.4,696000,2.45,0,-0.05
6805,富世達,,336000,2.09,336000,2.15,0,-0.06
6139,亞翔,,648000,1.23,648000,1.29,0,-0.06
6223,旺矽,,249000,1.74,249000,1.81,0,-0.07
8210,勤誠,,762000,2.54,762000,2.62,0,-0.08
2345,智邦,,949000,5.08,949000,5.17,0,-0.09
3653,健策,,352000,3.65,352000,3.77,0,-0.12
2454,聯發科,,580000,4.37,580000,4.5,0,-0.13
3661,世芯-KY,,231000,5.03,231000,5.22,0,-0.19
2308,台達電,,1528000,5.9,1528000,6.1,0,-0.2
2383,台光電,,846000,5.76,846000,6.0,0,-0.24
3017,奇鋐,,980000,5.41,980000,5.7,0,-0.29
2330,台積電,,1401000,8.85,1401000,9.24,0,-0.39
6515,穎崴,,1000,0.01,67000,0.46,-66000,-0.45
2317,鴻海,,1090000,1.22,2227000,2.57,-1137000,-1.35
