股票代號,股票名稱,昨日權重%,今日權重%,Δ%,_merge
1210,大成,0.34,0.34,0.0,both
1303,南亞,0.97,0.97,0.0,both
1560,中砂,0.0,0.0,0.0,both
2059,川湖,3.32,3.32,0.0,both
2308,台達電,6.68,6.68,0.0,both
2317,鴻海,4.5,4.5,0.0,both
2327,國巨,0.0,0.0,0.0,both
2330,台積電,9.11,9.11,0.0,both
2345,智邦,5.66,5.66,0.0,both
2357,華碩,2.43,2.43,0.0,both
2368,金像電,3.94,3.94,0.0,both
2382,廣達,1.03,1.03,0.0,both
2383,台光電,6.21,6.21,0.0,both
2439,美律,0.0,0.0,0.0,both
2454,聯發科,3.28,3.28,0.0,both
2618,長榮航,0.14,0.14,0.0,both
2884,玉山金,2.83,2.83,0.0,both
2886,兆豐金,0.29,0.29,0.0,both
2891,中信金,0.28,0.28,0.0,both
3008,大立光,0.02,0.02,0.0,both
3017,奇鋐,6.12,6.12,0.0,both
3044,健鼎,1.31,1.31,0.0,both
3045,台灣大,0.04,0.04,0.0,both
3217,優群,0.48,0.48,0.0,both
3231,緯創,0.97,0.97,0.0,both
3376,新日興,0.45,0.45,0.0,both
3533,嘉澤,0.84,0.84,0.0,both
3583,辛耘,0.17,0.17,0.0,both
3605,宏致,0.0,0.0,0.0,both
3653,健策,3.41,3.41,0.0,both
3661,世芯-KY,6.28,6.28,0.0,both
3665,貿聯-KY,6.46,6.46,0.0,both
4770,上品,0.82,0.82,0.0,both
4958,臻鼎-KY,2.61,2.61,0.0,both
5274,信驊,0.04,0.04,0.0,both
5347,世界,0.18,0.18,0.0,both
6139,亞翔,0.6,0.6,0.0,both
6143,振曜,0.32,0.32,0.0,both
6223,旺矽,0.75,0.75,0.0,both
6274,台燿,1.63,1.63,0.0,both
6278,台表科,0.0,0.0,0.0,both
6472,保瑞,0.5,0.5,0.0,both
6510,精測,0.85,0.85,0.0,both
6515,穎崴,0.88,0.88,0.0,both
6669,緯穎,0.03,0.03,0.0,both
6757,台灣虎航,0.14,0.14,0.0,both
6805,富世達,1.21,1.21,0.0,both
8046,南電,2.46,2.46,0.0,both
8069,元太,0.0,0.0,0.0,both
8210,勤誠,2.9,2.9,0.0,both
8996,高力,0.58,0.58,0.0,both
