股票代號,股票名稱,今日%,昨日%,D1Δ%,T-5日%,D5Δ%
2330,台積電,9.11,9.15,-0.04,9.22,-0.11
2308,台達電,6.68,5.81,0.87,5.96,0.72
3665,貿聯-KY,6.46,6.55,-0.09,6.54,-0.08
3661,世芯-KY,6.28,6.27,0.01,4.71,1.57
2383,台光電,6.21,5.56,0.65,4.7,1.51
3017,奇鋐,6.12,6.2,-0.08,7.26,-1.14
2345,智邦,5.66,5.71,-0.05,5.48,0.18
2317,鴻海,4.5,4.37,0.13,4.51,-0.01
2368,金像電,3.94,3.74,0.2,3.08,0.86
3653,健策,3.41,3.51,-0.1,3.23,0.18
2059,川湖,3.32,3.34,-0.02,3.47,-0.15
2454,聯發科,3.28,3.36,-0.08,2.5,0.78
8210,勤誠,2.9,2.92,-0.02,2.94,-0.04
2884,玉山金,2.83,2.9,-0.07,2.79,0.04
4958,臻鼎-KY,2.61,2.53,0.08,1.61,1.0
8046,南電,2.46,2.5,-0.04,2.13,0.33
2357,華碩,2.43,2.62,-0.19,3.7,-1.27
6274,台燿,1.63,1.08,0.55,0.79,0.84
3044,健鼎,1.31,2.27,-0.96,2.44,-1.13
6805,富世達,1.21,1.22,-0.01,0.0,1.21
2382,廣達,1.03,1.09,-0.06,2.22,-1.19
1303,南亞,0.97,1.8,-0.83,1.77,-0.8
3231,緯創,0.97,1.03,-0.06,2.11,-1.14
6515,穎崴,0.88,0.94,-0.06,1.33,-0.45
6510,精測,0.85,0.88,-0.03,1.22,-0.37
3533,嘉澤,0.84,0.8,0.04,1.38,-0.54
4770,上品,0.82,0.88,-0.06,1.2,-0.38
6223,旺矽,0.75,0.81,-0.06,0.53,0.22
6139,亞翔,0.6,0.44,0.16,0.28,0.32
8996,高力,0.58,0.63,-0.05,0.81,-0.23
6472,保瑞,0.5,0.54,-0.04,0.0,0.5
3217,優群,0.48,0.5,-0.02,0.39,0.09
3376,新日興,0.45,0.48,-0.03,0.0,0.45
1210,大成,0.34,0.37,-0.03,0.59,-0.25
6143,振曜,0.32,0.35,-0.03,0.56,-0.24
2886,兆豐金,0.29,0.31,-0.02,0.07,0.22
2891,中信金,0.28,0.3,-0.02,0.45,-0.17
5347,世界,0.18,0.2,-0.02,0.3,-0.12
3583,辛耘,0.17,0.0,0.17,0.0,0.17
2618,長榮航,0.14,0.15,-0.01,0.23,-0.09
6757,台灣虎航,0.14,0.14,0.0,0.22,-0.08
3045,台灣大,0.04,0.04,0.0,0.06,-0.02
5274,信驊,0.04,1.03,-0.99,1.43,-1.39
6669,緯穎,0.03,0.03,0.0,0.04,-0.01
3008,大立光,0.02,0.02,0.0,0.03,-0.01
1560,中砂,0.0,0.0,0.0,0.0,0.0
2327,國巨,0.0,0.0,0.0,0.01,-0.01
2439,美律,0.0,0.0,0.0,0.0,0.0
3605,宏致,0.0,0.0,0.0,0.56,-0.56
6278,台表科,0.0,0.0,0.0,0.0,0.0
8069,元太,0.0,0.0,0.0,0.0,0.0
