股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
2059,221000.0,2.2012,208000,2.3114,川湖,13000,-0.11,False,False,3855.0,3745.0
2308,156000.0,0.7883,147000,0.8257,台達電,9000,-0.04,False,False,2015.0,1900.0
2330,1134000.0,6.1076,984000,6.0983,台積電,150000,0.01,False,False,2050.0,2025.0
2337,771000.0,0.2471,739000,0.2955,旺宏,32000,-0.05,False,False,132.5,120.5
2344,771000.0,0.1757,724000,0.194,華邦電,47000,-0.02,False,False,91.1,85.7
2345,618000.0,3.2956,581000,3.6716,智邦,37000,-0.38,False,False,2190.0,2005.0
2360,414000.0,2.2572,389000,2.678,致茂,25000,-0.42,False,False,2025.0,2050.0
2368,264000.0,0.8496,248000,0.8896,金像電,16000,-0.04,False,False,1225.0,1210.0
2383,376000.0,3.8501,353000,4.0952,台光電,23000,-0.25,False,False,3950.0,3850.0
2408,2829000.0,1.5575,2657000,1.7034,南亞科,172000,-0.15,False,False,220.0,207.0
2486,1298000.0,0.6835,1297000,0.7325,一詮,1000,-0.05,False,False,204.5,198.0
3017,431000.0,2.8543,405000,2.9674,奇鋐,26000,-0.11,False,False,2565.0,2490.0
3036,1000000.0,0.5771,999000,0.7014,文曄,1000,-0.12,False,False,217.5,217.0
3037,1899000.0,3.4244,1784000,3.502,欣興,115000,-0.08,False,False,710.0,678.0
3081,195000.0,1.4833,195000,1.5478,聯亞,0,-0.06,False,False,2935.0,2860.0
3105,3027000.0,4.7661,2408000,3.9624,穩懋,619000,0.8,False,False,617.0,592.0
3131,132000.0,1.1269,124000,1.2322,弘塑,8000,-0.11,False,False,3280.0,3210.0
3163,786000.0,2.7072,738000,2.76,波若威,48000,-0.05,False,False,1260.0,1295.0
3189,484013.0,0.5541,484013,0.5785,景碩,0,-0.02,False,False,473.5,430.5
3260,293000.0,0.2789,268000,0.3015,威剛,25000,-0.02,False,False,393.5,358.0
3324,100000.0,0.2766,99000,0.3128,雙鴻,1000,-0.04,False,False,1050.0,1040.0
3443,215000.0,2.0471,168000,1.6694,創意,47000,0.38,False,False,3735.0,3580.0
3491,83000.0,0.3741,78000,0.3976,昇達科,5000,-0.02,False,False,1775.0,1695.0
3529,139000.0,1.6211,89000,1.1072,力旺,50000,0.51,False,False,4400.0,4385.0
3533,399000.0,2.7857,375000,2.8506,嘉澤,24000,-0.06,False,False,2635.0,2625.0
3653,110000.0,1.4686,110000,1.533,健策,0,-0.06,False,False,5370.0,5020.0
3661,69000.0,0.6652,65000,0.6975,世芯-KY,4000,-0.03,False,False,3985.0,3625.0
3665,447000.0,2.9246,420000,3.0324,貿聯-KY,27000,-0.11,False,False,2425.0,2460.0
3711,275000.0,0.3375,258000,0.3481,日月光投控,17000,-0.01,False,False,472.0,461.5
4749,599000.0,1.5676,575000,1.5711,新應材,24000,-0.0,False,False,990.0,984.0
4991,587000.0,1.1303,552000,1.1122,環宇-KY,35000,0.02,False,False,721.0,724.0
5274,39000.0,1.4962,35000,1.4751,信驊,4000,0.02,False,False,15245.0,14425.0
5289,102000.0,0.2767,98000,0.3006,宜鼎,4000,-0.02,False,False,1120.0,1020.0
5347,2402000.0,0.888,2401000,0.9675,世界,1000,-0.08,False,False,138.5,139.0
6223,248000.0,3.387,214000,3.394,旺矽,34000,-0.01,False,False,4940.0,5135.0
6271,1800000.0,0.888,1695000,0.9599,同欣電,105000,-0.07,False,False,187.5,185.5
6274,543000.0,1.372,510000,1.4729,台燿,33000,-0.1,False,False,963.0,950.0
6442,542000.0,3.4165,542000,3.5658,光聖,0,-0.15,False,False,2340.0,2370.0
6510,291000.0,2.9488,176000,2.0095,精測,115000,0.94,False,False,4105.0,3810.0
6515,129000.0,3.7037,121000,3.8067,穎崴,8000,-0.1,False,False,10715.0,10795.0
6531,604000.0,1.0956,567000,1.1147,愛普*,37000,-0.02,False,False,720.0,682.0
6584,743000.0,1.4485,661000,1.346,南俊國際,82000,0.1,False,False,787.0,733.0
6669,264000.0,2.7946,209000,2.4278,緯穎,55000,0.37,False,False,4220.0,3980.0
6781,0.0,0.0,74000,0.2349,AES-KY,-74000,-0.23,False,True,1020.0,1010.0
6805,255000.0,1.2852,240000,1.3701,富世達,15000,-0.08,False,False,1915.0,1895.0
7751,331000.0,1.7123,311000,1.7992,竑騰,20000,-0.09,False,False,1930.0,1945.0
7769,165000.0,1.9506,155000,2.1294,鴻勁,10000,-0.18,False,False,4465.0,4445.0
8021,584920.0,0.6502,583920,0.6961,尖點,1000,-0.05,False,False,405.0,418.0
8046,938000.0,1.9858,938000,2.0732,南電,0,-0.09,False,False,789.0,796.0
8299,615000.0,2.6744,578000,2.7704,群聯,37000,-0.1,False,False,1765.0,1635.0
8358,1326000.0,1.4248,1326000,1.4877,金居,0,-0.06,False,False,393.5,404.0
8996,1310000.0,4.181,1030000,3.8363,高力,280000,0.34,False,False,1215.0,1200.0
