股票代號,股票名稱,股數,持股權重
2059,川湖,201000,2.405
2308,台達電,142000,0.8816
2330,台積電,949000,6.866
2337,旺宏,707000,0.3492
2344,華邦電,698000,0.2189
2345,智邦,560000,3.8373
2360,致茂,389000,2.7332
2368,金像電,239000,0.9685
2383,台光電,340000,4.5059
2408,南亞科,2562000,1.8848
2486,一詮,1296000,0.8159
3017,奇鋐,390000,3.154
3036,文曄,998000,0.7966
3037,欣興,1720000,3.6973
3081,聯亞,195000,1.5702
3105,穩懋,1808000,2.808
3131,弘塑,120000,1.344
3163,波若威,712000,2.9967
3189,景碩,483013,0.6443
3260,威剛,243000,0.3114
3324,雙鴻,98000,0.3313
3443,創意,68000,0.7261
3491,昇達科,75000,0.4539
3529,力旺,89000,1.0432
3533,嘉澤,362000,2.9905
3653,健策,106000,1.5319
3661,世芯-KY,63000,0.7034
3665,貿聯-KY,405000,3.3105
3711,日月光投控,249000,0.3867
4749,新應材,555000,1.7586
4991,環宇-KY,538000,1.134
5274,信驊,31000,1.4961
5289,宜鼎,94000,0.3727
5347,世界,2400000,1.0643
6223,旺矽,206000,3.2997
6271,同欣電,1695000,1.0789
6274,台燿,242000,0.7963
6442,光聖,523000,3.8021
6510,精測,161000,2.0188
6515,穎崴,117000,3.6891
6531,愛普*,567000,1.1655
6584,南俊國際,637000,1.418
6669,緯穎,154000,1.9926
6781,AES-KY,71000,0.2427
6805,富世達,231000,1.4664
7751,竑騰,300000,2.0505
7769,鴻勁,150000,2.2226
8021,尖點,583920,0.6905
8046,南電,904000,2.0627
8299,群聯,557000,3.158
8358,金居,1326000,1.5382
8996,高力,993000,3.7994
