股票代號,股票名稱,股數,持股權重
2059,川湖,323000,2.9922
2308,台達電,357000,1.6817
2327,國巨*,1600000,2.34
2330,台積電,1761000,7.9659
2337,旺宏,1465000,0.462
2345,智邦,1012000,4.857
2360,致茂,207000,1.0485
2368,金像電,669000,1.7207
2383,台光電,536000,5.3404
2454,聯發科,412000,3.5812
2455,全新,2827000,2.1814
3017,奇鋐,501000,2.5477
3037,欣興,2902000,5.8629
3081,聯亞,380000,1.9848
3105,穩懋,3033000,3.1564
3189,景碩,486013,0.6523
3260,威剛,393000,0.3133
3443,創意,360000,3.2569
3491,昇達科,47000,0.1852
3533,嘉澤,48000,0.2351
3583,辛耘,33000,0.057
3653,健策,197000,1.359
3661,世芯-KY,293000,2.4833
3665,貿聯-KY,667000,2.7805
3711,日月光投控,1640000,2.0267
4991,環宇-KY,574000,0.7976
5274,信驊,30000,1.0546
5289,宜鼎,157000,0.526
6139,亞翔,259000,0.3941
6223,旺矽,339000,3.9522
6274,台燿,636000,1.9305
6442,光聖,80000,0.2988
6510,精測,272000,1.7584
6515,穎崴,151000,2.7143
6531,愛普*,271000,0.5848
6584,南俊國際,1437000,1.9543
6669,緯穎,400000,3.9026
6805,富世達,112000,0.3896
7734,印能科技,59000,0.4267
7751,竑騰,384000,1.3056
7769,鴻勁,100000,1.5176
8021,尖點,518000,0.4267
8046,南電,1058000,1.7725
8299,群聯,489000,2.3613
8996,高力,1674000,3.6129
