股票代號,股票名稱,股數,持股權重,收盤價
2059,川湖,358000,3.6165,5010.0
2308,台達電,357000,1.4872,2155.0
2327,國巨*,200000,0.1616,462.0
2330,台積電,1761000,7.5225,2270.0
2337,旺宏,1271000,0.4108,169.0
2344,華邦電,893000,0.2096,134.0
2345,智邦,716000,3.3548,2675.0
2360,致茂,487000,2.2537,2260.0
2368,金像電,669000,1.7378,1430.0
2383,台光電,536000,5.0847,4920.0
2408,南亞科,3280000,2.0259,341.0
2449,京元電子,166000,0.2077,296.0
2454,聯發科,180000,1.2105,3405.0
2455,全新,1927000,1.3867,358.5
2486,一詮,1230000,0.83,259.0
3017,奇鋐,501000,2.492,2555.0
3036,文曄,1177000,0.6432,271.5
3037,欣興,2302000,3.9511,881.0
3081,聯亞,380000,2.0729,2945.0
3105,穩懋,3433000,3.2732,483.5
3131,弘塑,87000,1.2799,2935.0
3163,波若威,923000,1.8382,1020.0
3189,景碩,486013,0.4652,522.0
3260,威剛,393000,0.3281,447.0
3324,雙鴻,151000,0.3094,1015.0
3443,創意,360000,3.6921,5075.0
3491,昇達科,97000,0.321,1625.0
3529,力旺,67000,0.8746,3920.0
3533,嘉澤,468000,2.3368,2450.0
3583,辛耘,33000,0.0613,929.0
3653,健策,197000,1.3381,3365.0
3661,世芯-KY,393000,3.6147,4830.0
3665,貿聯-KY,667000,3.2086,2250.0
3711,日月光投控,320000,0.3374,548.0
4749,新應材,526000,1.9923,1120.0
4991,環宇-KY,692000,0.932,708.0
5274,信驊,45000,1.543,17810.0
5289,宜鼎,142000,0.4822,1865.0
5347,世界,2277000,1.2867,175.0
6223,旺矽,289000,3.1808,6290.0
6274,台燿,636000,1.7745,1450.0
6442,光聖,488000,1.6949,1855.0
6510,精測,422000,3.0653,4150.0
6515,穎崴,151000,2.8692,10540.0
6531,愛普*,703000,1.4068,1050.0
6584,南俊國際,1337000,1.7468,667.0
6669,緯穎,465000,4.9927,5435.0
6781,AES-KY,198000,0.8877,1185.0
6805,富世達,219000,1.8922,1780.0
7751,竑騰,387000,1.2808,1550.0
7769,鴻勁,194000,2.7773,7560.0
8021,尖點,569920,0.7093,490.5
8046,南電,1658000,2.8075,847.0
8299,群聯,711000,3.5844,2880.0
8358,金居,1728000,1.9651,427.0
8996,高力,1689000,3.3312,1065.0
