股票代號,股票名稱,股數,持股權重,收盤價
2330,台積電,926000,9.11,1180.0
2308,台達電,1168000,6.68,686.0
3665,貿聯-KY,786848,6.46,
3661,世芯-KY,175000,6.28,4305.0
2383,台光電,582000,6.21,1280.0
3017,奇鋐,686000,6.12,1070.0
2345,智邦,656000,5.66,1035.0
2317,鴻海,2604000,4.5,207.0
2368,金像電,1014000,3.94,465.5
3653,健策,277000,3.41,1475.0
2059,川湖,127000,3.32,3130.0
2454,聯發科,287000,3.28,1370.0
8210,勤誠,576000,2.9,604.0
2884,玉山金,9996010,2.83,34.0
4958,臻鼎-KY,1946000,2.61,161.0
8046,南電,1739000,2.46,169.5
2357,華碩,461000,2.43,632.0
6274,台燿,618000,1.63,
3044,健鼎,488000,1.31,322.0
6805,富世達,137000,1.21,1060.0
2382,廣達,455000,1.03,270.5
1303,南亞,2719000,0.97,42.95
3231,緯創,998000,0.97,116.5
6515,穎崴,85000,0.88,1240.0
6510,精測,93000,0.85,
3533,嘉澤,77000,0.84,1305.0
4770,上品,360000,0.82,274.5
6223,旺矽,72000,0.75,
6139,亞翔,209000,0.6,343.5
8996,高力,193000,0.58,359.0
6472,保瑞,76000,0.5,783.0
3217,優群,322000,0.48,
3376,新日興,229000,0.45,234.0
1210,大成,754000,0.34,54.3
6143,振曜,343000,0.32,
2886,兆豐金,818000,0.29,42.3
2891,中信金,774000,0.28,42.85
5347,世界,232000,0.18,
3583,辛耘,58000,0.17,352.5
2618,長榮航,430000,0.14,39.9
6757,台灣虎航,192000,0.14,84.5
3045,台灣大,43000,0.04,107.0
5274,信驊,1000,0.04,
6669,緯穎,1000,0.03,3345.0
3008,大立光,1000,0.02,2370.0
1560,中砂,1000,0.0,302.5
2327,國巨,1000,0.0,546.0
2439,美律,1000,0.0,117.5
3605,宏致,1000,0.0,72.8
6278,台表科,1000,0.0,103.5
8069,元太,1000,0.0,
