股票代號,股票名稱,股數,持股權重,收盤價
1303,南亞,5323000,0.59,
1319,東陽,1575000,0.3,
2059,川湖,232000,1.56,
2308,台達電,2602000,5.04,
2313,華通,4735000,0.87,
2317,鴻海,8470000,3.83,
2327,國巨*,339000,0.16,
2330,台積電,3176000,9.8,
2345,智邦,2377000,5.3,
2354,鴻準,2567000,0.31,
2357,華碩,2000,0.0,
2368,金像電,4078000,5.11,
2383,台光電,2077000,6.43,
2404,漢唐,806000,1.51,
2439,美律,2000,0.0,
2449,京元電子,4104000,2.14,
2454,聯發科,1238000,3.54,
2884,玉山金,2010,0.0,
3008,大立光,3000,0.02,
3017,奇鋐,2166000,6.14,
3044,健鼎,1000,0.0,
3045,台灣大,2000,0.0,
3081,聯亞,1000,0.0,
3211,順達,570000,0.37,
3217,優群,326000,0.1,
3231,緯創,550000,0.17,
3515,華擎,717000,0.35,
3533,嘉澤,253000,0.64,
3583,辛耘,2000,0.0,
3653,健策,758000,3.82,
3661,世芯-KY,446000,3.16,
3665,貿聯-KY,1562848,4.64,
3711,日月光投控,2000,0.0,
3715,定穎投控,2002960,0.5,
4958,臻鼎-KY,1739000,0.48,
5274,信驊,142000,2.01,
5347,世界,958000,0.17,
5536,聖暉*,513000,0.76,
6139,亞翔,470000,0.52,
6191,精成科,3138000,0.68,
6223,旺矽,1103000,4.85,
6274,台燿,4877000,4.57,
6510,精測,2000,0.01,
6515,穎崴,51000,0.29,
6669,緯穎,710000,6.19,
6805,富世達,1016000,3.04,
8210,勤誠,1498000,2.78,
8299,群聯,1085000,3.05,
8358,金居,1668000,0.94,
8996,高力,51000,0.06,
