股票代號,股票名稱,股數,持股權重,收盤價
2059,川湖,293000,6.0689,8635.0
2308,台達電,300000,1.2981,1580.0
2330,台積電,1406000,8.9964,2370.0
2337,旺宏,1343000,0.3561,110.5
2345,智邦,1080000,6.0555,2335.0
2383,台光電,563000,7.0488,4980.0
2454,聯發科,406000,3.8083,3910.0
2455,全新,2753000,2.1211,321.0
3008,大立光,520000,5.5363,3960.0
3017,奇鋐,1002000,6.1337,2550.0
3026,禾伸堂,821000,1.0635,459.5
3037,欣興,2097000,4.3545,865.0
3189,景碩,440013,0.7372,698.0
3231,緯創,7662000,3.5581,186.0
3260,威剛,358000,0.3764,391.5
3264,欣銓,72000,0.0336,187.5
3363,上詮,200000,0.2648,525.0
3443,創意,211000,2.1184,4185.0
3491,昇達科,1000,0.0027,1065.0
3583,辛耘,147000,0.2521,670.0
3661,世芯-KY,215000,1.7359,3250.0
3665,貿聯-KY,991000,5.4911,2095.0
3711,日月光投控,1629000,2.3855,610.0
5289,宜鼎,98000,0.3348,1385.0
5347,世界,629000,0.2514,151.0
6139,亞翔,250000,0.4663,765.0
6187,萬潤,1220000,2.9905,1005.0
6223,旺矽,326000,4.5417,5805.0
6488,環球晶,394000,0.8888,866.0
6515,穎崴,42000,0.6444,6250.0
6584,南俊國際,2231000,2.5047,452.0
6669,緯穎,77000,1.095,5925.0
6805,富世達,109000,0.3882,1470.0
7734,印能科技,56000,0.4979,3690.0
7751,竑騰,310000,1.006,1245.0
8021,尖點,2501000,2.1315,355.0
8299,群聯,366000,1.5837,1760.0
8996,高力,1630000,3.6772,940.0
