股票代號,股票名稱,股數,持股權重,收盤價
1303,南亞,5445000,2.3735,192.0
1815,富喬,10877000,2.7275,112.0
2059,川湖,293000,6.8632,13385.0
2301,光寶科,659000,0.4123,261.0
2308,台達電,632000,2.5846,1750.0
2330,台積電,1406000,7.7117,2410.0
2337,旺宏,1343000,0.4017,122.5
2345,智邦,1080000,6.0364,2035.0
2357,華碩,196000,0.4193,921.0
2360,致茂,76000,0.3811,2100.0
2376,技嘉,508000,0.4095,339.5
2383,台光電,466000,5.7333,5680.0
2404,漢唐,155000,0.3905,1060.0
2454,聯發科,406000,3.691,3790.0
2455,全新,2753000,2.6581,406.0
3008,大立光,520000,5.5776,5610.0
3017,奇鋐,1002000,6.832,2865.0
3026,禾伸堂,261000,0.4342,639.0
3037,欣興,2497000,5.6346,1085.0
3081,聯亞,63000,0.4104,2920.0
3189,景碩,844013,1.6833,811.0
3231,緯創,7662000,3.3673,175.5
3260,威剛,358000,0.3495,422.5
3264,欣銓,72000,0.0353,203.0
3443,創意,211000,2.1922,5600.0
3583,辛耘,147000,0.2512,704.0
3653,健策,33000,0.433,5395.0
3661,世芯-KY,215000,1.8895,3700.0
3665,貿聯-KY,1161000,6.122,2275.0
3711,日月光投控,1629000,2.2478,587.0
4958,臻鼎-KY,1000000,1.085,441.0
5274,信驊,11000,0.406,15350.0
5289,宜鼎,98000,0.3422,1560.0
5347,世界,629000,0.2262,151.5
6139,亞翔,250000,0.4487,762.0
6187,萬潤,801000,2.1827,1195.0
6213,聯茂,373000,0.4458,513.0
6223,旺矽,326000,4.7631,5465.0
6274,台燿,113000,0.4171,1495.0
6515,穎崴,42000,0.6599,6400.0
6584,南俊國際,2231000,3.0639,588.0
6669,緯穎,77000,1.1413,6255.0
6805,富世達,109000,0.4449,1765.0
7734,印能科技,56000,0.4402,2855.0
7751,竑騰,270000,0.8797,1730.0
8021,尖點,2682000,2.5676,397.0
8046,南電,300000,0.8401,1135.0
8150,南茂,1957000,0.4031,86.7
8299,群聯,366000,1.7188,2075.0
8996,高力,1630000,4.3357,1090.0
