股票代號,股票名稱,股數,持股權重
1303,南亞,5445000,2.4184
1815,富喬,6277000,1.2738
2059,川湖,293000,7.6905
2308,台達電,300000,1.1694
2330,台積電,1406000,7.8724
2337,旺宏,1343000,0.3855
2345,智邦,1080000,5.6516
2383,台光電,466000,5.7688
2454,聯發科,406000,3.7408
2455,全新,2753000,2.3674
3008,大立光,520000,5.387
3017,奇鋐,1002000,6.5927
3037,欣興,2497000,5.6337
3189,景碩,840013,1.6332
3231,緯創,7662000,3.3216
3260,威剛,358000,0.3518
3264,欣銓,72000,0.0352
3443,創意,211000,2.2656
3583,辛耘,147000,0.2406
3661,世芯-KY,215000,1.887
3665,貿聯-KY,1161000,6.0343
3711,日月光投控,1629000,2.2513
4958,臻鼎-KY,1000000,1.1174
5289,宜鼎,98000,0.3472
5347,世界,629000,0.2132
6139,亞翔,250000,0.4736
6187,萬潤,801000,2.1383
6223,旺矽,323000,4.6548
6515,穎崴,42000,0.6707
6584,南俊國際,2231000,2.8989
6669,緯穎,77000,1.1096
6805,富世達,109000,0.43
7734,印能科技,56000,0.4465
7751,竑騰,270000,0.8834
8021,尖點,2501000,2.3339
8996,高力,1630000,4.0241
