股票代號,股票名稱,股數,持股權重,收盤價
1303,南亞,7149000,0.84,
1319,東陽,1575000,0.28,
1605,華新,2551000,0.18,
2059,川湖,232000,1.47,
2308,台達電,2656000,5.14,
2313,華通,2651000,0.58,
2317,鴻海,8470000,3.72,
2327,國巨*,2321000,1.07,
2330,台積電,3112000,9.97,
2337,旺宏,8886000,0.99,
2345,智邦,2526000,5.85,
2354,鴻準,1000,0.0,
2357,華碩,2000,0.0,
2368,金像電,3885000,4.72,
2383,台光電,1578000,4.71,
2404,漢唐,806000,1.53,
2439,美律,2000,0.0,
2449,京元電子,955000,0.48,
2454,聯發科,1383000,3.74,
3008,大立光,3000,0.01,
3017,奇鋐,2290000,6.0,
3044,健鼎,1000,0.0,
3045,台灣大,2000,0.0,
3211,順達,570000,0.33,
3217,優群,326000,0.1,
3376,新日興,454000,0.2,
3515,華擎,423000,0.2,
3533,嘉澤,376000,1.01,
3653,健策,758000,3.71,
3661,世芯-KY,458000,3.12,
3665,貿聯-KY,1483848,4.03,
3715,定穎投控,2002960,0.53,
4958,臻鼎-KY,1000,0.0,
5269,祥碩,209000,0.56,
5274,信驊,142000,2.08,
5536,聖暉*,513000,0.75,
6139,亞翔,627000,0.72,
6191,精成科,3138000,0.68,
6223,旺矽,1069000,4.54,
6274,台燿,4877000,4.33,
6510,精測,2000,0.01,
6515,穎崴,91000,0.61,
6669,緯穎,710000,5.74,
6805,富世達,1016000,2.64,
8210,勤誠,1513000,2.62,
8299,群聯,1358000,4.22,
8358,金居,2026000,1.0,
8996,高力,51000,0.06,
