股票代號,股票名稱,股數,持股權重,收盤價
1303,南亞,3184000,0.32,
1319,東陽,1500000,0.18,
1326,台化,3000,0.0,
1802,台玻,5996000,0.43,
1815,富喬,2000,0.0,
2002,中鋼,4925000,0.13,
2059,川湖,3000,0.01,
2308,台達電,3626000,5.94,
2313,華通,3000,0.0,
2327,國巨*,8017000,2.68,
2330,台積電,3788000,9.21,
2345,智邦,2770000,5.13,
2357,華碩,4000,0.0,
2368,金像電,4262000,4.36,
2383,台光電,2257000,6.59,
2404,漢唐,572000,0.82,
2439,美律,4000,0.0,
2449,京元電子,4414000,1.61,
2454,聯發科,351000,0.78,
3008,大立光,6000,0.02,
3017,奇鋐,2552000,5.71,
3037,欣興,5952000,3.11,
3045,台灣大,4000,0.0,
3211,順達,1575000,0.62,
3217,優群,354000,0.07,
3324,雙鴻,157000,0.19,
3376,新日興,1425000,0.36,
3533,嘉澤,32000,0.06,
3583,辛耘,4000,0.0,
3653,健策,1197000,5.11,
3661,世芯-KY,588000,2.37,
3665,貿聯-KY,2223848,4.76,
3711,日月光投控,1297000,0.56,
4979,華星光,1219000,0.56,
5274,信驊,204000,2.53,
5536,聖暉*,3000,0.0,
6139,亞翔,1694000,1.14,
6191,精成科,3398000,0.41,
6223,旺矽,1234000,4.51,
6274,台燿,3058000,1.86,
6488,環球晶,1699000,0.98,
6510,精測,374000,1.67,
6515,穎崴,248000,1.66,
6669,緯穎,797000,4.21,
6805,富世達,1124000,2.51,
8046,南電,4559000,2.59,
8210,勤誠,1856000,2.17,
8299,群聯,1000,0.0,
8358,金居,1864000,0.58,
8996,高力,1000,0.0,
