股票代號,股票名稱,股數,持股權重
2059,川湖,258000,2.0782
2308,台達電,357000,1.4669
2330,台積電,1311000,6.0403
2337,旺宏,1271000,0.3748
2344,華邦電,893000,0.1705
2345,智邦,716000,3.1678
2360,致茂,487000,1.9069
2368,金像電,669000,1.9324
2383,台光電,537000,5.1668
2408,南亞科,3280000,1.5112
2454,聯發科,180000,0.8915
2486,一詮,567000,0.2589
3017,奇鋐,601000,3.4658
3036,文曄,1177000,0.4812
3037,欣興,2310000,3.9424
3081,聯亞,380000,1.9633
3105,穩懋,3433000,3.4392
3131,弘塑,154000,0.9006
3163,波若威,924000,1.9547
3189,景碩,486013,0.5091
3260,威剛,393000,0.3517
3324,雙鴻,151000,0.3624
3443,創意,260000,2.0917
3491,昇達科,97000,0.3166
3529,力旺,4000,0.0329
3533,嘉澤,468000,2.5799
3653,健策,197000,1.9876
3661,世芯-KY,173000,1.4639
3665,貿聯-KY,667000,3.5683
3711,日月光投控,320000,0.3225
4749,新應材,701000,1.3774
4991,環宇-KY,692000,0.8023
5274,信驊,45000,1.4646
5289,宜鼎,142000,0.3437
6223,旺矽,289000,2.8688
6271,同欣電,2589000,0.9163
6274,台燿,636000,1.2807
6442,光聖,785000,2.8343
6510,精測,422000,3.0645
6515,穎崴,151000,2.9425
6531,愛普*,703000,1.0768
6584,南俊國際,1337000,1.8765
6669,緯穎,465000,4.6254
6805,富世達,298000,1.2548
7751,竑騰,388000,2.0875
7769,鴻勁,194000,1.9613
8021,尖點,661920,0.5466
8046,南電,1108000,2.0577
8299,群聯,711000,2.6539
8358,金居,1508000,1.0291
8996,高力,1689000,3.6762
