股票代號,股票名稱,股數,持股權重
1303,南亞,8959000,1.8
1560,中砂,510000,0.85
2059,川湖,190000,3.61
2308,台達電,1067000,5.29
2317,鴻海,4229000,4.56
2330,台積電,1342000,9.64
2344,華邦電,1000,0.0
2345,智邦,1325000,6.41
2354,鴻準,3284000,1.06
2357,華碩,1000,0.0
2368,金像電,2023000,4.07
2383,台光電,910000,5.02
2439,美律,1000,0.0
2449,京元電子,3979000,3.47
2454,聯發科,1000,0.01
2884,玉山金,1010,0.0
3008,大立光,1000,0.01
3017,奇鋐,1259000,7.28
3037,欣興,1069000,0.86
3045,台灣大,1000,0.0
3211,順達,410000,0.64
3217,優群,1000,0.0
3231,緯創,2521000,1.7
3264,欣銓,1000,0.0
3376,新日興,1236000,1.32
3406,玉晶光,727000,1.49
3515,華擎,607000,0.85
3533,嘉澤,239000,1.68
3583,辛耘,1000,0.0
3653,健策,311000,3.52
3661,世芯-KY,167000,2.5
3665,貿聯-KY,1199848,7.08
3711,日月光投控,1000,0.0
4770,上品,1000,0.0
4958,臻鼎-KY,1000,0.0
4966,譜瑞-KY,137000,0.5
5274,信驊,61000,1.65
5347,世界,1000,0.0
5536,聖暉*,162000,0.69
6139,亞翔,1000,0.0
6191,精成科,1511000,0.81
6223,旺矽,511000,4.84
6274,台燿,1920000,3.03
6472,保瑞,1000,0.0
6515,穎崴,1000,0.01
6669,緯穎,210000,3.92
6805,富世達,564000,3.25
8210,勤誠,831000,2.73
8299,群聯,139000,0.58
8996,高力,315000,0.84
