股票代號,股票名稱,股數,持股權重
2330,台積電,926000,9.11
2308,台達電,1168000,6.68
3665,貿聯-KY,786848,6.46
3661,世芯-KY,175000,6.28
2383,台光電,582000,6.21
3017,奇鋐,686000,6.12
2345,智邦,656000,5.66
2317,鴻海,2604000,4.5
2368,金像電,1014000,3.94
3653,健策,277000,3.41
2059,川湖,127000,3.32
2454,聯發科,287000,3.28
8210,勤誠,576000,2.9
2884,玉山金,9996010,2.83
4958,臻鼎-KY,1946000,2.61
8046,南電,1739000,2.46
2357,華碩,461000,2.43
6274,台燿,618000,1.63
3044,健鼎,488000,1.31
6805,富世達,137000,1.21
2382,廣達,455000,1.03
1303,南亞,2719000,0.97
3231,緯創,998000,0.97
6515,穎崴,85000,0.88
6510,精測,93000,0.85
3533,嘉澤,77000,0.84
4770,上品,360000,0.82
6223,旺矽,72000,0.75
6139,亞翔,209000,0.6
8996,高力,193000,0.58
6472,保瑞,76000,0.5
3217,優群,322000,0.48
3376,新日興,229000,0.45
1210,大成,754000,0.34
6143,振曜,343000,0.32
2886,兆豐金,818000,0.29
2891,中信金,774000,0.28
5347,世界,232000,0.18
3583,辛耘,58000,0.17
2618,長榮航,430000,0.14
6757,台灣虎航,192000,0.14
3045,台灣大,43000,0.04
5274,信驊,1000,0.04
6669,緯穎,1000,0.03
3008,大立光,1000,0.02
1560,中砂,1000,0.0
2327,國巨,1000,0.0
2439,美律,1000,0.0
3605,宏致,1000,0.0
6278,台表科,1000,0.0
8069,元太,1000,0.0
