股票代號,股票名稱,股數,持股權重,收盤價
2059,川湖,293000,5.8069,8500.0
2303,聯電,7000000,2.6202,166.0
2327,國巨*,2066000,3.9844,798.0
2330,台積電,1406000,8.4345,2440.0
2337,旺宏,1343000,0.4644,148.5
2345,智邦,977000,5.5219,2340.0
2383,台光電,563000,6.9362,5080.0
2454,聯發科,406000,3.6835,3740.0
2455,全新,2753000,2.1462,315.5
3008,大立光,420000,4.4404,4040.0
3017,奇鋐,1009000,5.4275,2165.0
3026,禾伸堂,459000,0.9273,838.0
3037,欣興,2097000,4.5432,936.0
3189,景碩,440013,0.878,845.0
3260,威剛,358000,0.3576,408.0
3264,欣銓,72000,0.0388,224.5
3363,上詮,300000,0.4305,597.0
3443,創意,211000,2.1026,4120.0
3491,昇達科,1000,0.0029,1195.0
3583,辛耘,566000,1.0747,842.0
3661,世芯-KY,215000,1.9852,3735.0
3665,貿聯-KY,955000,4.202,1910.0
3711,日月光投控,1629000,2.5884,683.0
5289,宜鼎,98000,0.351,1470.0
6139,亞翔,250000,0.5168,895.0
6182,合晶,4500000,2.0804,179.5
6187,萬潤,1220000,2.9789,1080.0
6223,旺矽,326000,5.1235,6330.0
6488,環球晶,394000,1.4796,1480.0
6515,穎崴,120000,2.1395,7255.0
6584,南俊國際,2231000,3.7109,666.0
6805,富世達,109000,0.3566,1395.0
7734,印能科技,56000,0.3845,3045.0
7751,竑騰,372000,1.1331,1210.0
8021,尖點,1501000,1.8139,532.0
8299,群聯,445000,2.2613,2105.0
8996,高力,1630000,4.7477,1185.0
