股票代號,股票名稱,股數,持股權重,收盤價,source_snapshot_date
2330,台積電,1601000,9.27,,2025-09-02
3665,貿聯-KY,1183848,5.67,,2025-09-02
2345,智邦,1162000,5.59,,2025-09-02
3661,世芯-KY,291000,5.59,,2025-09-02
2383,台光電,926000,5.32,,2025-09-02
2449,京元電子,5977000,4.53,,2025-09-02
2308,台達電,1214000,4.15,,2025-09-02
3653,健策,388000,4.13,,2025-09-02
3017,奇鋐,869000,4.12,,2025-09-02
2368,金像電,1887000,4.1,,2025-09-02
4958,臻鼎-KY,4298000,3.96,,2025-09-02
6223,旺矽,525000,3.66,,2025-09-02
2454,聯發科,523000,3.55,,2025-09-02
8046,南電,3399000,3.34,,2025-09-02
6274,台燿,1578000,2.58,,2025-09-02
2884,玉山金,14977010,2.54,,2025-09-02
8210,勤誠,822000,2.34,,2025-09-02
2357,華碩,726000,2.24,,2025-09-02
6669,緯穎,140000,2.02,,2025-09-02
6805,富世達,386000,1.96,,2025-09-02
3583,辛耘,888000,1.66,,2025-09-02
3131,弘塑,206000,1.51,,2025-09-02
8028,昇陽半導體,1499000,1.19,,2025-09-02
3533,嘉澤,159000,1.11,,2025-09-02
3376,新日興,800000,0.92,,2025-09-02
2481,強茂,2175000,0.73,,2025-09-02
6472,保瑞,176000,0.64,,2025-09-02
4966,譜瑞-KY,161000,0.6,,2025-09-02
3231,緯創,998000,0.55,,2025-09-02
4770,上品,360000,0.54,,2025-09-02
1560,中砂,234000,0.38,,2025-09-02
3008,大立光,32000,0.37,,2025-09-02
2059,川湖,24000,0.35,,2025-09-02
3529,力旺,30000,0.35,,2025-09-02
6143,振曜,556000,0.35,,2025-09-02
1210,大成,754000,0.2,,2025-09-02
3211,順達,102000,0.18,,2025-09-02
2886,兆豐金,818000,0.17,,2025-09-02
5347,世界,232000,0.11,,2025-09-02
2618,長榮航,430000,0.08,,2025-09-02
6757,台灣虎航,142000,0.06,,2025-09-02
3045,台灣大,43000,0.02,,2025-09-02
6515,穎崴,1000,0.01,,2025-09-02
2317,鴻海,1000,0.0,,2025-09-02
2439,美律,1000,0.0,,2025-09-02
2891,中信金,1000,0.0,,2025-09-02
3217,優群,1000,0.0,,2025-09-02
6139,亞翔,1000,0.0,,2025-09-02
6278,台表科,1000,0.0,,2025-09-02
8996,高力,1000,0.0,,2025-09-02
