股票代號,股票名稱,股數,持股權重,收盤價
2059,川湖,208000,2.3114,3745.0
2308,台達電,147000,0.8257,1900.0
2330,台積電,984000,6.0983,2025.0
2337,旺宏,739000,0.2955,120.5
2344,華邦電,724000,0.194,85.7
2345,智邦,581000,3.6716,2005.0
2360,致茂,389000,2.678,2050.0
2368,金像電,248000,0.8896,1210.0
2383,台光電,353000,4.0952,3850.0
2408,南亞科,2657000,1.7034,207.0
2449,京元電子,166000,0.2077,271.0
2486,一詮,1297000,0.7325,198.0
3017,奇鋐,405000,2.9674,2490.0
3036,文曄,999000,0.7014,217.0
3037,欣興,1784000,3.502,678.0
3081,聯亞,195000,1.5478,2860.0
3105,穩懋,2408000,3.9624,592.0
3131,弘塑,124000,1.2322,3210.0
3163,波若威,738000,2.76,1295.0
3189,景碩,484013,0.5785,430.5
3260,威剛,268000,0.3015,358.0
3324,雙鴻,99000,0.3128,1040.0
3443,創意,168000,1.6694,3580.0
3491,昇達科,78000,0.3976,1695.0
3529,力旺,89000,1.1072,4385.0
3533,嘉澤,375000,2.8506,2625.0
3653,健策,110000,1.533,5020.0
3661,世芯-KY,65000,0.6975,3625.0
3665,貿聯-KY,420000,3.0324,2460.0
3711,日月光投控,258000,0.3481,461.5
4749,新應材,575000,1.5711,984.0
4991,環宇-KY,552000,1.1122,724.0
5274,信驊,35000,1.4751,14425.0
5289,宜鼎,98000,0.3006,1020.0
5347,世界,2401000,0.9675,139.0
6223,旺矽,214000,3.394,5135.0
6271,同欣電,1695000,0.9599,185.5
6274,台燿,510000,1.4729,950.0
6442,光聖,542000,3.5658,2370.0
6510,精測,176000,2.0095,3810.0
6515,穎崴,121000,3.8067,10795.0
6531,愛普*,567000,1.1147,682.0
6584,南俊國際,661000,1.346,733.0
6669,緯穎,209000,2.4278,3980.0
6781,AES-KY,198000,0.8877,1010.0
6805,富世達,240000,1.3701,1895.0
7751,竑騰,311000,1.7992,1945.0
7769,鴻勁,155000,2.1294,4445.0
8021,尖點,583920,0.6961,418.0
8046,南電,938000,2.0732,796.0
8299,群聯,578000,2.7704,1635.0
8358,金居,1728000,1.9651,404.0
8996,高力,1030000,3.8363,1200.0
