股票代號,股票名稱,股數,持股權重,收盤價
1303,南亞,8479000,1.39,
1319,東陽,573000,0.15,
1560,中砂,517000,0.46,
2059,川湖,177000,1.87,
2308,台達電,1959000,5.06,
2317,鴻海,4575000,2.86,
2327,國巨*,1000,0.0,
2330,台積電,2231000,8.9,
2345,智邦,1888000,5.36,
2354,鴻準,3806000,0.69,
2357,華碩,1000,0.0,
2368,金像電,3738000,6.55,
2383,台光電,1561000,6.59,
2439,美律,1000,0.0,
2449,京元電子,5619000,3.56,
2454,聯發科,21000,0.08,
2884,玉山金,1010,0.0,
3008,大立光,1000,0.01,
3017,奇鋐,1726000,6.57,
3037,欣興,1000,0.0,
3044,健鼎,93000,0.08,
3045,台灣大,1000,0.0,
3081,聯亞,331000,0.48,
3211,順達,469000,0.34,
3217,優群,172000,0.08,
3231,緯創,3955000,1.58,
3515,華擎,1001000,0.7,
3533,嘉澤,245000,0.89,
3583,辛耘,1000,0.0,
3653,健策,536000,4.31,
3661,世芯-KY,140000,1.28,
3665,貿聯-KY,1400848,6.25,
3711,日月光投控,561000,0.36,
3715,定穎投控,1511000,0.5,
4958,臻鼎-KY,1656000,0.67,
5274,信驊,1000,0.02,
5347,世界,684000,0.17,
5536,聖暉*,495000,0.95,
6139,亞翔,930000,1.17,
6191,精成科,2828000,1.03,
6223,旺矽,761000,4.78,
6274,台燿,3336000,4.07,
6510,精測,242000,1.29,
6515,穎崴,121000,0.95,
6669,緯穎,527000,6.67,
6805,富世達,781000,3.4,
8210,勤誠,1036000,2.76,
8299,群聯,1000,0.0,
8358,金居,1184000,0.75,
8996,高力,1000,0.0,
