股票代號,股票名稱,股數,持股權重,收盤價
2330,台積電,557000,5.9144,1840.0
2383,台光電,303000,5.026,2810.0
2345,智邦,538000,4.9098,1610.0
8299,群聯,396000,4.4549,1915.0
6515,穎崴,105000,4.3452,7930.0
3037,欣興,1250000,4.1684,554.0
3017,奇鋐,347000,4.0132,2050.0
6223,旺矽,184000,3.8706,3860.0
3533,嘉澤,331000,3.8566,2065.0
2408,南亞科,2381000,3.5532,234.0
8996,高力,628000,3.4278,911.0
3163,波若威,635000,3.3458,912.0
7769,鴻勁,133000,3.1756,4105.0
2360,致茂,328000,3.0027,1585.0
2059,川湖,136000,2.7906,3405.0
8046,南電,840000,2.7047,541.0
7751,竑騰,267000,2.5362,1615.0
2308,台達電,274000,2.2882,1475.0
5274,信驊,27000,1.8674,11750.0
6442,光聖,164000,1.8167,2045.0
5347,世界,2530000,1.7062,116.0
4749,新應材,252000,1.322,875.0
3665,貿聯-KY,129000,1.2735,1825.0
5289,宜鼎,163000,1.2489,1205.0
8358,金居,748000,1.1548,245.5
6669,緯穎,53000,1.1453,3805.0
6781,AES-KY,194000,1.1134,1100.0
1519,華城,207000,1.0954,916.0
6531,愛普*,345000,1.091,553.0
2486,一詮,1154000,1.0663,155.0
3105,穩懋,504000,1.0254,344.0
2449,京元電子,552000,1.0011,308.0
3189,景碩,452013,0.9949,380.0
3653,健策,44000,0.9849,3850.0
3529,力旺,61000,0.9715,2700.0
8210,勤誠,168000,0.8601,912.0
8021,尖點,534920,0.7982,264.5
6584,南俊國際,279000,0.731,502.0
2368,金像電,122000,0.7037,988.0
3661,世芯-KY,38000,0.7023,3375.0
6805,富世達,58000,0.6574,2000.0
2317,鴻海,341000,0.4012,203.0
6274,台燿,110000,0.3687,554.0
5439,高技,193000,0.3229,306.0
3324,雙鴻,52000,0.3193,1065.0
2344,華邦電,413000,0.2891,110.0
