股票代號,股票名稱,股數,持股權重,收盤價
2330,台積電,556000,7.7021,1775.0
8299,群聯,277000,4.9001,2380.0
2308,台達電,504000,4.8543,1220.0
2345,智邦,488000,4.3819,1115.0
3665,貿聯-KY,387000,4.0541,1300.0
3017,奇鋐,331000,3.7977,1460.0
6223,旺矽,175000,3.4852,2515.0
2059,川湖,134000,3.296,3140.0
2383,台光電,224000,3.0772,1745.0
6515,穎崴,101000,3.023,3905.0
7769,鴻勁,92000,2.6477,3750.0
8996,高力,412000,2.4568,747.0
2360,致茂,313000,2.4381,980.0
5347,世界,2101000,2.3702,143.5
3037,欣興,858000,2.2684,378.5
3260,威剛,819000,2.2627,363.5
3163,波若威,612000,2.2192,456.0
2408,南亞科,968000,2.2064,326.5
2449,京元電子,932000,2.1815,296.0
3131,弘塑,141000,1.9748,1670.0
6415,矽力*-KY,840000,1.9307,280.5
5274,信驊,26000,1.8587,8880.0
6781,AES-KY,191000,1.759,1130.0
6442,光聖,124000,1.6416,1785.0
3661,世芯-KY,64000,1.6061,3125.0
1519,華城,204000,1.5891,970.0
4749,新應材,240000,1.5545,861.0
8358,金居,713000,1.4418,262.0
6669,緯穎,50000,1.4274,3575.0
2327,國巨*,595000,1.2648,277.5
8210,勤誠,165000,1.1776,905.0
2454,聯發科,85000,1.1611,1760.0
2486,一詮,1150000,1.1297,128.0
2344,華邦電,1079000,1.0765,128.5
3529,力旺,71000,1.038,1830.0
6274,台燿,238000,0.9315,503.0
5289,宜鼎,157000,0.9253,794.0
2451,創見,463000,0.9203,266.5
8021,尖點,509920,0.8648,205.0
3231,緯創,827000,0.8409,130.5
6531,愛普*,245000,0.8329,429.5
3324,雙鴻,91000,0.6564,910.0
6805,富世達,55000,0.6268,1425.0
2317,鴻海,325000,0.5587,220.5
3443,創意,23000,0.4757,2620.0
8046,南電,160000,0.4592,388.5
3189,景碩,213000,0.3751,252.0
2368,金像電,60000,0.3186,701.0
3653,健策,14000,0.311,2840.0
6584,南俊國際,136000,0.3094,294.0
5439,高技,126000,0.2978,298.0
5536,聖暉*,7000,0.0364,630.0
