股票代號,股票名稱,股數,持股權重
1303,南亞,1000,0.0
1319,東陽,574000,0.12
1560,中砂,1000,0.0
2059,川湖,178000,1.64
2308,台達電,2383000,5.43
2317,鴻海,6902000,3.76
2327,國巨*,1000,0.0
2330,台積電,2635000,9.33
2345,智邦,2176000,5.95
2354,鴻準,3807000,0.58
2357,華碩,1000,0.0
2368,金像電,3858000,5.61
2383,台光電,1682000,6.47
2404,漢唐,385000,0.83
2439,美律,1000,0.0
2449,京元電子,5619000,3.0
2454,聯發科,880000,2.96
2884,玉山金,1010,0.0
3008,大立光,1000,0.01
3017,奇鋐,1826000,6.29
3044,健鼎,93000,0.07
3045,台灣大,1000,0.0
3081,聯亞,351000,0.48
3211,順達,490000,0.34
3217,優群,172000,0.07
3231,緯創,3090000,1.07
3515,華擎,1002000,0.65
3533,嘉澤,246000,0.79
3583,辛耘,1000,0.0
3653,健策,624000,4.41
3661,世芯-KY,209000,1.66
3665,貿聯-KY,1460848,5.4
3711,日月光投控,1552000,0.91
3715,定穎投控,3450000,1.01
4958,臻鼎-KY,1736000,0.61
5274,信驊,85000,1.39
5347,世界,715000,0.16
5536,聖暉*,496000,0.96
6139,亞翔,1549000,1.97
6191,精成科,2968000,0.86
6223,旺矽,869000,4.85
6274,台燿,3356000,3.48
6510,精測,1000,0.0
6515,穎崴,46000,0.3
6669,緯穎,617000,6.72
6805,富世達,831000,3.18
8210,勤誠,1132000,2.47
8299,群聯,1000,0.0
8358,金居,1621000,1.08
8996,高力,1000,0.0
