股票代號,股票名稱,股數,持股權重,收盤價
2330,台積電,1601000,9.35,
3665,貿聯-KY,1156848,5.66,
3661,世芯-KY,279000,5.47,
2383,台光電,926000,5.36,
2345,智邦,1124000,5.32,
2368,金像電,2008000,4.59,
2308,台達電,1320000,4.55,
2449,京元電子,5477000,4.35,
4958,臻鼎-KY,4298000,4.11,
3017,奇鋐,869000,4.1,
3653,健策,352000,3.89,
2454,聯發科,523000,3.56,
8046,南電,3399000,3.42,
6223,旺矽,423000,2.95,
6274,台燿,1578000,2.7,
2884,玉山金,14977010,2.53,
8210,勤誠,822000,2.38,
2357,華碩,726000,2.25,
6805,富世達,386000,1.99,
3583,辛耘,888000,1.7,
3131,弘塑,206000,1.53,
6139,亞翔,648000,1.23,
8028,昇陽半導體,1499000,1.15,
3533,嘉澤,159000,1.13,
1560,中砂,593000,1.02,
3376,新日興,800000,0.95,
2481,強茂,2175000,0.69,
6669,緯穎,48000,0.68,
4966,譜瑞-KY,161000,0.61,
3231,緯創,998000,0.55,
4770,上品,360000,0.54,
3008,大立光,32000,0.37,
2059,川湖,24000,0.36,
6143,振曜,556000,0.34,
6472,保瑞,76000,0.27,
1210,大成,754000,0.2,
2886,兆豐金,818000,0.17,
3217,優群,161000,0.14,
5347,世界,232000,0.11,
2618,長榮航,430000,0.08,
6757,台灣虎航,142000,0.06,
3045,台灣大,43000,0.02,
3443,創意,1000,0.01,
6515,穎崴,1000,0.01,
2317,鴻海,1000,0.0,
2439,美律,1000,0.0,
2891,中信金,1000,0.0,
3605,宏致,1000,0.0,
6278,台表科,1000,0.0,
8996,高力,1000,0.0,
