股票代號,股票名稱,股數,持股權重
2059,川湖,293000,6.1346
2303,聯電,7000000,2.4717
2327,國巨*,2066000,3.6341
2330,台積電,1406000,8.896
2337,旺宏,1343000,0.4336
2345,智邦,1080000,6.2946
2383,台光電,563000,7.1391
2454,聯發科,406000,3.9118
2455,全新,2753000,2.1321
3008,大立光,420000,4.3941
3017,奇鋐,1002000,6.103
3026,禾伸堂,909000,1.6275
3037,欣興,2097000,4.5419
3189,景碩,440013,0.8617
3260,威剛,358000,0.3463
3264,欣銓,72000,0.0396
3363,上詮,300000,0.4119
3443,創意,211000,2.2795
3491,昇達科,1000,0.0031
3583,辛耘,147000,0.2894
3661,世芯-KY,215000,1.9699
3665,貿聯-KY,955000,5.0144
3711,日月光投控,1629000,2.7071
5289,宜鼎,98000,0.3344
6139,亞翔,250000,0.5349
6187,萬潤,1220000,3.1965
6223,旺矽,326000,5.0282
6488,環球晶,394000,1.2464
6515,穎崴,99000,1.7297
6584,南俊國際,2231000,3.1687
6805,富世達,109000,0.4049
7734,印能科技,56000,0.4579
7751,竑騰,318000,0.9851
8021,尖點,1501000,1.4994
8299,群聯,445000,2.1671
8996,高力,1630000,4.2066
