股票代號,股票名稱,股數,持股權重
1519,華城,289000,2.7288
2059,川湖,127000,3.8695
2308,台達電,494000,5.3771
2317,鴻海,314000,0.6135
2327,國巨*,583000,1.5087
2330,台積電,556000,8.5553
2344,華邦電,1079000,0.9858
2345,智邦,433000,4.3534
2360,致茂,307000,2.7108
2383,台光電,200000,2.9026
2408,南亞科,950000,2.2134
2449,京元電子,432000,1.0367
2451,創見,455000,0.9228
3017,奇鋐,315000,3.7316
3037,欣興,302000,0.8633
3131,弘塑,135000,2.1068
3163,波若威,612000,1.9904
3189,景碩,209000,0.3755
3260,威剛,804000,2.0841
3324,雙鴻,40000,0.3252
3443,創意,23000,0.5177
3529,力旺,71000,0.9249
3653,健策,14000,0.3133
3661,世芯-KY,62000,1.7752
3665,貿聯-KY,379000,4.7052
4749,新應材,228000,1.6824
5274,信驊,23000,1.7494
5289,宜鼎,154000,1.0138
5347,世界,2060000,2.6204
5439,高技,120000,0.3131
5536,聖暉*,220000,1.304
6223,旺矽,167000,3.526
6274,台燿,150000,0.6373
6415,矽力*-KY,300000,0.678
6442,光聖,124000,1.4039
6515,穎崴,96000,3.1474
6531,愛普*,233000,0.9696
6584,南俊國際,104000,0.2786
6781,AES-KY,179000,1.917
6805,富世達,52000,0.641
7769,鴻勁,87000,2.8143
8021,尖點,492000,1.0409
8046,南電,147000,0.4761
8210,勤誠,162000,1.3313
8299,群聯,272000,4.8868
8358,金居,696000,1.792
8996,高力,362000,2.3008
