股票代號,股票名稱,股數,持股權重
1303,南亞,8959000,1.82
1560,中砂,510000,0.8
2059,川湖,190000,3.43
2308,台達電,1067000,5.34
2317,鴻海,3891000,4.02
2330,台積電,1450000,9.96
2344,華邦電,1000,0.0
2345,智邦,1325000,6.66
2354,鴻準,3284000,1.08
2357,華碩,1000,0.0
2368,金像電,2023000,4.18
2383,台光電,910000,5.3
2439,美律,1000,0.0
2449,京元電子,3979000,3.28
2454,聯發科,1000,0.01
2884,玉山金,645010,0.1
3008,大立光,1000,0.01
3017,奇鋐,1189000,6.7
3037,欣興,1069000,0.8
3045,台灣大,43000,0.02
3211,順達,410000,0.66
3217,優群,1000,0.0
3231,緯創,2521000,1.78
3264,欣銓,1000,0.0
3376,新日興,1236000,1.36
3406,玉晶光,727000,1.46
3515,華擎,607000,0.88
3533,嘉澤,239000,1.69
3583,辛耘,1000,0.0
3653,健策,311000,3.36
3661,世芯-KY,202000,3.31
3665,貿聯-KY,1199848,6.38
3711,日月光投控,862000,0.72
4770,上品,129000,0.17
4958,臻鼎-KY,1000,0.0
4966,譜瑞-KY,385000,1.44
5274,信驊,61000,1.63
5347,世界,538000,0.26
5536,聖暉*,107000,0.43
6139,亞翔,1000,0.0
6191,精成科,1511000,0.83
6223,旺矽,511000,4.18
6274,台燿,1920000,3.12
6472,保瑞,1000,0.0
6515,穎崴,1000,0.01
6669,緯穎,210000,3.5
6805,富世達,564000,3.16
8210,勤誠,831000,2.48
8299,群聯,139000,0.57
8996,高力,236000,0.48
