股票代號,股票名稱,股數,持股權重
1519,華城,204000,1.4831
2059,川湖,134000,2.9599
2308,台達電,504000,4.4949
2317,鴻海,325000,0.5405
2330,台積電,556000,7.867
2344,華邦電,379000,0.2952
2345,智邦,488000,5.1051
2360,致茂,313000,2.4499
2368,金像電,60000,0.382
2383,台光電,224000,3.5487
2408,南亞科,1394000,2.8432
2449,京元電子,932000,2.1183
2454,聯發科,151000,2.0967
2486,一詮,1150000,1.2636
3017,奇鋐,331000,4.0357
3037,欣興,858000,2.3989
3163,波若威,612000,2.6116
3189,景碩,213000,0.4063
3231,緯創,827000,0.806
3260,威剛,819000,1.8307
3324,雙鴻,226000,1.837
3443,創意,23000,0.4336
3529,力旺,71000,0.9645
3533,嘉澤,164000,2.0057
3653,健策,14000,0.3529
3661,世芯-KY,64000,1.5895
3665,貿聯-KY,387000,4.0194
4749,新應材,240000,1.4811
5274,信驊,26000,1.8247
5289,宜鼎,157000,0.8933
5347,世界,2101000,1.9686
5439,高技,126000,0.2953
6223,旺矽,175000,3.6681
6274,台燿,238000,0.9529
6442,光聖,124000,1.8525
6515,穎崴,101000,3.7209
6531,愛普*,245000,0.756
6584,南俊國際,136000,0.4171
6669,緯穎,50000,1.3867
6781,AES-KY,191000,1.6243
6805,富世達,55000,0.654
7769,鴻勁,92000,2.7696
8021,尖點,509920,0.7502
8046,南電,160000,0.4931
8210,勤誠,165000,1.2207
8299,群聯,327000,4.4914
8358,金居,713000,1.3844
8996,高力,539000,3.7767
