股票代號,收盤價
1519,893.0
2059,3345.0
2308,1060.0
2317,234.5
2327,278.5
2330,1710.0
2344,99.8
2345,1215.0
2360,989.0
2368,678.0
2382,286.0
2383,1670.0
2408,236.5
2449,270.5
2451,240.5
3017,1420.0
3037,250.0
3131,1840.0
3163,363.5
3189,172.0
3260,273.5
3324,992.0
3443,2420.0
3529,1690.0
3653,2450.0
3661,3460.0
3665,1495.0
4749,913.0
5274,8085.0
5289,645.0
5347,124.0
5439,308.5
5536,804.0
6223,2345.0
6274,485.0
6442,1360.0
6515,3495.0
6531,468.5
6584,312.5
6669,3960.0
6781,1205.0
6805,1300.0
7769,3505.0
8021,214.5
8046,261.5
8210,979.0
8299,1775.0
8358,261.0
8996,746.0
