股票代號,收盤價
1303,39.6
1560,328.0
2059,3100.0
2308,848.0
2317,219.5
2330,1300.0
2344,31.4
2345,984.0
2354,70.1
2357,678.0
2368,412.5
2383,1225.0
2439,100.5
2449,155.5
2454,1310.0
2884,32.9
2886,42.0
3008,2320.0
3017,941.0
3037,149.0
3045,107.0
3131,1485.0
3211,354.0
3217,169.0
3264,84.9
3376,236.5
3406,420.5
3515,264.5
3529,2035.0
3533,1520.0
3583,378.0
3653,2195.0
3661,3275.0
3665,984.0
3711,165.5
4770,295.0
4958,165.0
4966,749.0
5274,4905.0
5347,101.0
6139,349.0
6191,115.5
6223,1660.0
6274,298.0
6472,680.0
6515,2105.0
6669,3050.0
6805,967.0
8210,577.0
8996,311.0
