股票代號,收盤價
1303,52.4
1319,95.2
1560,309.5
2059,3460.0
2308,910.0
2317,219.0
2327,228.5
2330,1415.0
2344,57.5
2345,965.0
2354,63.1
2357,590.0
2368,594.0
2383,1450.0
2439,102.5
2449,205.0
2454,1185.0
2884,30.1
3008,2165.0
3017,1315.0
3037,176.0
3044,307.0
3045,107.5
3231,139.5
3515,251.0
3533,1200.0
3583,309.5
3653,2595.0
3661,2950.0
3665,1545.0
3711,212.0
3715,119.0
4958,138.5
6139,441.0
6191,122.0
6515,2515.0
6669,4170.0
6805,1370.0
8210,891.0
8996,525.0
3211,259.0
3217,165.0
5274,6330.0
5347,90.0999984741211
5536,664.0
6223,2060.0
6274,419.0
6510,1790.0
8299,1100.0
8358,229.0
