股票代號,收盤價
1519,865.0
2059,3600.0
2308,1510.0
2317,199.5
2330,1820.0
2344,92.4
2345,1655.0
2360,1615.0
2368,924.0
2383,2910.0
2408,219.5
2449,278.5
2486,149.0
3017,2195.0
3037,505.0
3105,382.5
3163,854.0
3189,352.0
3324,993.0
3443,2460.0
3529,2825.0
3533,2260.0
3653,4040.0
3661,3040.0
4749,865.0
4991,446.0
5274,11555.0
5289,960.0
5347,120.5
5439,304.0
6223,3665.0
6274,626.0
6442,2115.0
6510,3240.0
6515,7915.0
6531,507.0
6584,609.0
6669,3395.0
6781,1070.0
6805,1905.0
7751,1630.0
7769,3790.0
8021,268.0
8046,561.0
8210,909.0
8299,1565.0
8358,237.0
8996,865.0
