股票代號,收盤價
1519,985.0
2059,3280.0
2308,1340.0
2317,229.0
2330,1935.0
2344,112.5
2345,1420.0
2360,1395.0
2368,766.0
2383,2320.0
2408,256.5
2449,305.0
2454,1815.0
2486,135.5
3017,1795.0
3037,463.0
3163,799.0
3189,309.0
3324,1080.0
3443,2490.0
3529,2335.0
3533,1660.0
3653,3040.0
3661,3355.0
3665,1645.0
4749,931.0
5274,9255.0
5289,818.0
5347,123.0
5439,279.0
6223,2855.0
6274,538.0
6442,2330.0
6515,4730.0
6531,422.0
6584,406.0
6669,4145.0
6781,1120.0
6805,1760.0
7751,1180.0
7769,4150.0
8021,256.0
8046,500.0
8210,912.0
8299,1755.0
8358,264.5
8996,831.0
