股票代號,收盤價
1303,225.5
1815,118.5
2059,13860.0
2301,308.0
2308,1825.0
2330,2410.0
2337,121.5
2345,2100.0
2357,1025.0
2360,2030.0
2376,361.0
2383,5415.0
2404,1070.0
2454,4415.0
2455,528.0
3008,7400.0
3017,3570.0
3026,701.0
3037,902.0
3081,3170.0
3189,819.0
3231,198.0
3260,400.5
3264,227.0
3443,5810.0
3583,711.0
3653,5875.0
3661,4220.0
3665,2145.0
3711,588.0
4958,463.0
5274,17470.0
5289,1360.0
5347,150.0
6139,736.0
6187,1305.0
6213,517.0
6223,5155.0
6274,1365.0
6515,7075.0
6584,634.0
6669,2565.0
6805,2200.0
7734,2890.0
7751,1610.0
8021,420.0
8046,1055.0
8150,90.1
8299,2015.0
8996,1300.0
