股票代號,收盤價
1519,735.0
2059,3155.0
2308,1010.0
2317,229.5
2330,1685.0
2344,108.5
2345,1265.0
2360,925.0
2368,632.0
2382,273.0
2383,1545.0
2408,241.5
2449,263.0
2451,257.5
3017,1355.0
3037,227.5
3131,1830.0
3163,374.0
3189,166.0
3231,151.0
3260,286.0
3324,945.0
3443,2450.0
3529,1665.0
3653,2445.0
3661,3600.0
3665,1410.0
4749,910.0
5274,7650.0
5289,645.0
5439,311.5
5536,786.0
6223,2120.0
6274,467.0
6442,1330.0
6515,3175.0
6531,455.0
6584,323.0
6669,4650.0
6781,1260.0
6805,1365.0
7769,3130.0
8021,196.0
8046,237.0
8210,921.0
8299,1700.0
8358,255.0
8996,578.0
