股票代號,收盤價
1303,72.8
1319,104.5
1326,40.75
1802,42.8
2002,20.5
2059,2935.0
2308,1185.0
2313,183.0
2317,221.0
2327,254.0
2330,1880.0
2345,1390.0
2357,526.0
2368,846.0
2383,2105.0
2404,908.0
2439,100.0
2449,302.0
2454,1845.0
2884,33.8
3008,2325.0
3017,1620.0
3037,371.5
3045,105.5
3376,193.5
3533,1625.0
3653,3350.0
3661,3300.0
3665,1380.0
5269,1300.0
6139,524.0
6191,105.0
6515,4895.0
6669,3685.0
6805,1580.0
8046,409.5
8210,983.0
8996,931.0
1815,87.9000015258789
3211,280.0
3217,153.0
4979,333.5
5274,9325.0
5536,618.0
6223,2785.0
6274,532.0
6488,491.5
6510,3930.0
8299,1825.0
8358,258.0
