股票代號,收盤價
1303,220.5
1815,125.5
2059,14300.0
2301,317.5
2308,1830.0
2330,2420.0
2337,126.5
2345,2125.0
2357,965.0
2360,2010.0
2376,349.0
2383,5490.0
2404,1075.0
2454,3985.0
2455,434.0
3008,7065.0
3017,3360.0
3026,742.0
3037,1110.0
3081,3305.0
3189,899.0
3231,178.0
3260,412.0
3264,235.0
3443,6015.0
3583,749.0
3653,5785.0
3661,4065.0
3665,2260.0
3711,621.0
4958,480.5
5274,15630.0
5289,1470.0
5347,153.0
6139,775.0
6187,1365.0
6213,582.0
6223,5030.0
6274,1490.0
6515,6250.0
6584,682.0
6669,7200.0
6805,2345.0
7734,2995.0
7751,1790.0
8021,454.0
8046,1240.0
8150,90.5
8299,2150.0
8996,1265.0
