股票代號,收盤價
1303,61.4
1319,90.2
1560,355.0
2059,3615.0
2308,968.0
2317,233.5
2327,245.5
2330,1505.0
2345,1090.0
2354,64.7
2357,595.0
2368,616.0
2383,1600.0
2404,877.0
2439,98.8
2449,229.0
2454,1460.0
2884,32.1
3008,2085.0
3017,1425.0
3044,312.5
3045,104.5
3231,147.5
3515,244.5
3533,1345.0
3583,332.0
3653,2920.0
3661,3370.0
3665,1525.0
3711,244.5
3715,117.0
4958,146.5
6139,508.0
6191,120.0
6515,2685.0
6669,4525.0
6805,1535.0
8210,899.0
8996,510.0
3081,599.0
3211,272.0
3217,161.5
5274,6710.0
5347,92.5999984741211
5536,780.0
6223,2380.0
6274,432.0
6510,1965.0
8299,1125.0
8358,279.0
