股票代號,收盤價
2330,1160.0
3665,1075.0
2308,711.0
2383,1220.0
2345,1015.0
3017,1010.0
2368,505.0
3661,4055.0
2454,1370.0
4958,196.5
3653,2095.0
8046,220.0
2449,156.0
6274,368.0
8210,609.0
6223,1390.0
2884,33.45
2357,632.0
6805,1140.0
3583,390.0
3131,1515.0
8028,161.5
3533,1455.0
6139,353.0
3376,264.0
1560,349.0
6669,2965.0
2481,64.4
4966,781.0
3231,113.0
4770,287.5
3443,1330.0
3008,2405.0
2059,3025.0
6143,122.0
6472,727.0
1210,53.1
2886,40.05
3217,173.0
5347,91.5
2618,38.85
6757,83.5
3045,106.5
6515,1375.0
2317,203.5
2439,107.5
2891,41.15
3605,75.6
6278,107.5
8996,387.0
