股票代號,收盤價
1560,332.0
2059,3335.0
2308,888.0
2317,214.0
2330,1265.0
2344,33.5
2345,1015.0
2354,69.9
2357,668.0
2368,435.5
2383,1290.0
2439,101.0
2449,169.5
2454,1440.0
2884,33.55
2886,41.75
3008,2340.0
3017,1040.0
3037,157.5
3045,105.5
3131,1495.0
3211,353.5
3217,180.0
3231,121.0
3264,85.0
3376,233.5
3406,431.5
3515,279.0
3529,2110.0
3533,1625.0
3583,366.0
3653,2305.0
3661,3750.0
3665,1115.0
3711,170.0
4770,306.5
4958,169.5
4966,780.0
5347,96.0
6139,355.0
6191,130.0
6223,1600.0
6274,292.0
6472,690.0
6515,1845.0
6669,3230.0
6805,998.0
8046,220.0
8210,594.0
8996,327.5
