股票代號,收盤價
1519,910.0
2059,2955.0
2308,1160.0
2317,215.0
2327,248.5
2330,1780.0
2344,97.8
2345,1190.0
2360,967.0
2368,745.0
2383,1925.0
2408,264.0
2449,283.5
2454,1710.0
2486,136.0
3017,1595.0
3037,340.0
3163,489.0
3189,242.5
3231,129.0
3260,306.5
3324,1030.0
3443,2375.0
3529,1850.0
3533,1595.0
3653,2970.0
3661,3115.0
3665,1285.0
4749,813.0
5274,8900.0
5289,711.0
5347,120.0
5439,289.5
6223,2670.0
6274,519.0
6415,272.5
6442,1695.0
6515,4510.0
6531,407.0
6584,343.0
6669,3645.0
6781,1115.0
6805,1545.0
7769,3690.0
8021,201.0
8046,379.0
8210,977.0
8299,1895.0
8358,238.0
8996,803.0
