股票代號,收盤價
1303,55.6
1319,98.8
1560,313.0
2059,3715.0
2308,922.0
2317,241.0
2327,233.5
2330,1430.0
2344,60.3
2345,983.0
2354,66.8
2357,633.0
2368,544.0
2383,1380.0
2439,112.0
2449,208.5
2454,1230.0
2884,30.0
3008,2200.0
3017,1420.0
3037,171.5
3045,108.5
3231,140.5
3376,190.0
3406,438.0
3515,275.5
3533,1220.0
3583,315.5
3653,2580.0
3661,3510.0
3665,1520.0
3711,222.5
3715,120.5
4770,222.0
4958,141.5
6139,418.5
6191,115.5
6472,568.0
6669,4280.0
6805,1465.0
8210,993.0
8996,499.5
3211,270.5
4966,652.0
5274,5965.0
5347,90.5999984741211
5536,651.0
6223,1900.0
6274,397.5
8299,1260.0
